date,adj_close,close
2008-03-28,35.43873215,50.09999847
2008-03-31,34.88698959,49.31999969
2008-04-01,35.82778168,50.65000153
2008-04-02,36.22389221,51.20999908
2008-04-03,36.42904282,51.5
2008-04-04,36.40781021,51.47000122
2008-04-07,36.62002563,51.77000046
2008-04-08,36.84638596,52.09000015
2008-04-09,36.16022873,51.11999893
2008-04-10,36.16022873,51.11999893
2008-04-11,35.5872612,50.31000137
2008-04-14,35.72874451,50.50999832
2008-04-15,35.82778168,50.65000153
2008-04-16,36.31586075,51.34000015
2008-04-17,36.80393982,52.02999878
2008-04-18,37.20713043,52.59999847
2008-04-21,37.37689972,52.84000015
2008-04-22,37.03736877,52.36000061
2008-04-23,37.12932968,52.49000168
2008-04-24,37.14347076,52.50999832
2008-04-25,37.29201508,52.72000122
2008-04-28,37.59618378,53.15000153
2008-04-29,37.1646843,52.54000092
2008-04-30,37.66691589,53.25
2008-05-01,37.55374527,53.09000015
2008-05-02,37.78717041,53.41999817
2008-05-05,37.89326859,53.56999969
2008-05-06,38.14791107,53.93000031
2008-05-07,37.51129913,53.02999878
2008-05-08,37.63861847,53.20999908
2008-05-09,37.47592545,52.97999954
2008-05-12,37.8578949,53.52000046
2008-05-13,37.9003334,53.58000183
2008-05-14,37.98522949,53.70000076
2008-05-15,38.38842773,54.27000046
2008-05-16,38.71380997,54.72999954
2008-05-19,38.69966125,54.70999908
2008-05-20,38.31769562,54.16999817
2008-05-21,38.05595016,53.79999924
2008-05-22,38.11254883,53.88000107
2008-05-23,37.51837158,53.04000092
2008-05-27,37.80838776,53.45000076
2008-05-28,37.80132294,53.43999863
2008-05-29,38.03474426,53.77000046
2008-05-30,37.99230957,53.70999908
2008-06-02,37.70228958,53.29999924
2008-06-03,37.6103363,53.16999817
2008-06-04,37.22835541,52.63000107
2008-06-05,38.02765274,53.75999832
2008-06-06,37.02321625,52.34000015
2008-06-09,36.79687119,52.02000046
2008-06-10,36.43610001,51.50999832
2008-06-11,35.99754715,50.88999939
2008-06-12,36.0187645,50.91999817
2008-06-13,36.26633835,51.27000046
2008-06-16,36.50684357,51.61000061
2008-06-17,36.49977112,51.59999847
2008-06-18,36.23806763,51.22999954
2008-06-19,35.75704575,50.54999924
2008-06-20,35.502388,50.18999863
2008-06-23,35.62264633,50.36000061
2008-06-24,35.26895523,49.86000061
2008-06-25,35.65094376,50.40000153
2008-06-26,34.75967026,49.13999939
2008-06-27,34.82332993,49.22999954
2008-06-30,34.95772552,49.41999817
2008-07-01,34.68892288,49.04000092
2008-07-02,34.14426041,48.27000046
2008-07-03,34.00278854,48.06999969
2008-07-07,34.13719177,48.25999832
2008-07-08,34.03815842,48.11999893
2008-07-09,33.96035004,48.00999832
2008-07-10,33.84716034,47.84999847
2008-07-11,33.59958649,47.5
2008-07-14,33.46519852,47.31000137
2008-07-15,33.11859131,46.81999969
2008-07-16,33.43690109,47.27000046
2008-07-17,33.88254166,47.90000153
2008-07-18,33.91083145,47.93999863
2008-07-21,34.05937576,48.15000153
2008-07-22,34.04523849,48.13000107
2008-07-23,34.50501633,48.77999878
2008-07-24,33.77643967,47.75
2008-07-25,33.76936722,47.74000168
2008-07-28,33.36616516,47.16999817
2008-07-29,33.74106598,47.70000076
2008-07-30,33.93911743,47.97999954
2008-07-31,33.85425186,47.86000061
2008-08-01,33.45811462,47.29999924
2008-08-04,33.11859131,46.81999969
2008-08-05,33.65617752,47.58000183
2008-08-06,34.03815842,48.11999893
2008-08-07,33.38739395,47.20000076
2008-08-08,33.76229477,47.72999954
2008-08-11,33.8117981,47.79999924
2008-08-12,33.55007935,47.43000031
2008-08-13,33.38739395,47.20000076
2008-08-14,33.41567612,47.24000168
2008-08-15,33.28126526,47.04999924
2008-08-18,32.97712326,46.61999893
2008-08-19,32.56684113,46.04000092
2008-08-20,32.7578392,46.31000137
2008-08-21,33.0902977,46.77999878
2008-08-22,33.20347214,46.93999863
2008-08-25,32.64466095,46.15000153
2008-08-26,32.80027008,46.36999893
2008-08-27,33.03371429,46.70000076
2008-08-28,33.44396973,47.27999878
2008-08-29,33.28837204,47.06000137
2008-09-02,32.83564377,46.41999817
2008-09-03,32.38293076,45.77999878
2008-09-04,31.5270195,44.56999969
2008-09-05,31.40677643,44.40000153
2008-09-08,31.746315,44.88000107
2008-09-09,30.83382416,43.59000015
2008-09-10,31.29359818,44.24000168
2008-09-11,31.27236366,44.20999908
2008-09-12,31.64020729,44.72999954
2008-09-15,30.14766884,42.61999893
2008-09-16,30.36696053,42.93000031
2008-09-17,29.05833817,41.08000183
2008-09-18,30.20428276,42.70000076
2008-09-19,31.88778687,45.08000183
2008-09-22,31.20870972,44.11999893
2008-09-23,30.53673172,43.16999817
2008-09-24,30.52257729,43.15000153
2008-09-25,31.24407959,44.16999817
2008-09-26,31.0813942,43.93999863
2008-09-29,28.17413902,39.83000183
2008-09-30,29.20689583,41.29000092
2008-10-01,29.32714081,41.45999908
2008-10-02,28.09632874,39.72000122
2008-10-03,27.58703995,39
2008-10-06,26.17231178,37
2008-10-07,25.00517082,35.34999847
2008-10-08,24.4675808,34.59000015
2008-10-09,22.94675636,32.43999863
2008-10-10,22.45159912,31.73999977
2008-10-13,25.23859978,35.68000031
2008-10-14,25.07591057,35.45000076
2008-10-15,22.68503189,32.06999969
2008-10-16,23.56215477,33.31000137
2008-10-17,23.18725967,32.77999878
2008-10-20,24.5241642,34.66999817
2008-10-21,23.47727013,33.18999863
2008-10-22,21.76546669,30.77000046
2008-10-23,21.89986229,30.95999908
2008-10-24,20.94492722,29.61000061
2008-10-27,19.94047546,28.19000053
2008-10-28,22.06962585,31.20000076
2008-10-29,22.43037987,31.70999908
2008-10-30,23.49142265,33.20999908
2008-10-31,23.8309536,33.68999863
2008-11-03,23.696558,33.5
2008-11-04,24.97687912,35.31000137
2008-11-05,23.66119194,33.45000076
2008-11-06,22.11206627,31.26000023
2008-11-07,23.20848083,32.81000137
2008-11-10,22.96798325,32.47000122
2008-11-11,22.37379265,31.62999916
2008-11-12,21.15006065,29.89999962
2008-11-13,22.63552094,32
2008-11-14,21.4612999,30.34000015
2008-11-17,21.22079849,30
2008-11-18,21.0227375,29.71999931
2008-11-19,19.89803123,28.12999916
2008-11-20,18.58234215,26.27000046
