date,adj_close,close
2002-07-30,40.28278732,81.76999664
2002-07-31,40.65224075,82.51999664
2002-08-01,40.819767,82.86000061
2002-08-02,41.1350441,83.5
2002-08-05,41.34194183,83.91999817
2002-08-06,41.00696182,83.23999786
2002-08-07,41.1350441,83.5
2002-08-08,40.9921875,83.20999908
2002-08-09,41.29759598,83.83000183
2002-08-12,41.3813591,84
2002-08-13,41.71142578,84.66999817
2002-08-14,41.58826065,84.41999817
2002-08-15,41.34685898,83.93000031
2002-08-16,41.07593536,83.37999725
2002-08-19,41.11531067,83.45999908
2002-08-20,41.49468613,84.23000336
2002-08-21,41.39119339,84.01999664
2002-08-22,41.16952133,83.56999969
2002-08-23,41.35673141,83.94999695
2002-08-26,41.37641907,83.98999786
2002-08-27,41.25327301,83.73999786
2002-08-28,41.4059906,84.05000305
2002-08-29,41.5981102,84.44000244
2002-08-30,41.67693329,84.59999847
2002-09-03,42.13172913,85.23000336
2002-09-04,42.11689377,85.19999695
2002-09-05,42.28495407,85.54000092
2002-09-06,41.95869064,84.87999725
2002-09-09,41.89941025,84.76000214
2002-09-10,42.04766846,85.05999756
2002-09-11,41.8944931,84.75
2002-09-12,42.11195374,85.19000244
2002-09-13,42.30967712,85.58999634
2002-09-16,42.32453156,85.62000275
2002-09-17,42.46290588,85.90000153
2002-09-18,42.51237106,86
2002-09-19,42.72489166,86.43000031
2002-09-20,42.71010971,86.40000153
2002-09-23,42.95232391,86.88999939
2002-09-24,43.10552216,87.19999695
2002-09-25,42.7793045,86.54000092
2002-09-26,42.74964523,86.48000336
2002-09-27,43.03141022,87.05000305
2002-09-30,43.28351974,87.55999756
2002-10-01,42.90573883,86.54000092
2002-10-02,43.04951859,86.83000183
2002-10-03,43.02468109,86.77999878
2002-10-04,43.06931686,86.87000275
2002-10-07,43.23788452,87.20999908
2002-10-08,43.15857315,87.05000305
2002-10-09,43.37667847,87.48999786
2002-10-10,43.12883759,86.98999786
2002-10-11,42.82146072,86.37000275
2002-10-14,42.78675461,86.30000305
2002-10-15,42.06784821,84.84999847
2002-10-16,42.06784821,84.84999847
2002-10-17,41.84474182,84.40000153
2002-10-18,41.968647,84.65000153
2002-10-21,41.64640045,84
2002-10-22,41.62656021,83.95999908
2002-10-23,41.71582413,84.13999939
2002-10-24,41.91414261,84.54000092
2002-10-25,42.09757233,84.91000366
2002-10-28,42.14715576,85.01000214
2002-10-29,42.52890015,85.77999878
2002-10-30,42.52395248,85.76999664
2002-10-31,42.74212646,86.20999908
2002-11-01,42.48594284,85.40000153
2002-11-04,42.35155869,85.12999725
2002-11-05,42.23717117,84.90000153
2002-11-06,42.37645721,85.18000031
2002-11-07,42.78934097,86.01000214
2002-11-08,42.89382553,86.22000122
2002-11-11,43.00329208,86.44000244
2002-11-12,42.8689537,86.16999817
2002-11-13,42.91871262,86.26999664
2002-11-14,42.38142014,85.19000244
2002-11-15,42.41127777,85.25
2002-11-18,42.45108032,85.33000183
2002-11-19,42.48594284,85.40000153
2002-11-20,42.25207138,84.93000031
2002-11-21,42.00829697,84.44000244
2002-11-22,41.95854187,84.33999634
2002-11-25,41.89388657,84.20999908
2002-11-26,42.27196503,84.97000122
2002-11-27,41.7894249,84
2002-11-29,41.84910202,84.12000275
2002-12-02,41.83407974,83.56999969
2002-12-03,41.82907104,83.55999756
2002-12-04,41.97428131,83.84999847
2002-12-05,42.08941269,84.08000183
2002-12-06,42.25957489,84.41999817
2002-12-09,42.41979218,84.73999786
2002-12-10,42.38473129,84.66999817
2002-12-11,42.52490997,84.94999695
2002-12-12,42.55995178,85.01999664
2002-12-13,42.40477371,84.70999908
2002-12-16,42.22955704,84.36000061
2002-12-17,42.3296814,84.55999756
2002-12-18,42.58999634,85.08000183
2002-12-19,42.81023407,85.51999664
2002-12-20,42.81023407,85.51999664
2002-12-23,42.78520966,85.47000122
2002-12-24,42.94538879,85.79000092
2002-12-26,43.01047897,85.91999817
2002-12-27,43.26578903,86.43000031
2002-12-30,43.34584045,86.58999634
2002-12-31,43.33377457,86.15000153
2003-01-02,42.64969635,84.79000092
2003-01-03,42.72013092,84.93000031
2003-01-06,42.61452103,84.72000122
