date,adj_close,close
1980-01-02,4.408644676,14.34000015
1980-01-03,4.387125015,14.27000046
1980-01-04,4.442465782,14.44999981
1980-01-07,4.454761028,14.48999977
1980-01-08,4.543922901,14.77999973
1980-01-09,4.550068378,14.80000019
1980-01-10,4.5838871,14.90999985
1980-01-11,4.5838871,14.90999985
1980-01-14,4.605406284,14.97999954
1980-01-15,4.636149406,15.07999992
1980-01-16,4.633078575,15.06999969
1980-01-17,4.617707253,15.02000046
1980-01-18,4.633078575,15.06999969
1980-01-21,4.676118374,15.21000004
1980-01-22,4.654595852,15.14000034
1980-01-23,4.734529495,15.39999962
1980-01-24,4.743753433,15.43000031
1980-01-25,4.740680218,15.42000008
1980-01-28,4.796018124,15.60000038
1980-01-29,4.762196541,15.48999977
1980-01-30,4.811389446,15.64999962
1980-01-31,4.768348694,15.51000023
1980-02-01,4.811389446,15.64999962
1980-02-04,4.78679657,15.56999969
1980-02-05,4.802165508,15.61999989
1980-02-06,4.848283768,15.77000046
1980-02-07,4.87287426,15.85000038
1980-02-08,4.946662426,16.09000015
1980-02-11,4.912842274,15.97999954
1980-02-12,4.943586826,16.07999992
1980-02-13,4.968183517,16.15999985
1980-02-14,4.897474766,15.93000031
1980-02-15,4.845207691,15.76000023
1980-02-19,4.811389446,15.64999962
1980-02-20,4.891322613,15.90999985
1980-02-21,4.842133999,15.75
1980-02-22,4.829834461,15.71000004
1980-02-25,4.768348694,15.51000023
1980-02-26,4.796018124,15.60000038
1980-02-27,4.73145628,15.39000034
1980-02-28,4.728382587,15.38000011
1980-02-29,4.78679657,15.56999969
1980-03-03,4.737607479,15.40999985
1980-03-04,4.752976418,15.46000004
1980-03-05,4.685338974,15.23999977
1980-03-06,4.580812931,14.89999962
1980-03-07,4.510102272,14.67000008
1980-03-10,4.497805595,14.63000011
1980-03-11,4.550068378,14.80000019
1980-03-12,4.513176918,14.68000031
1980-03-13,4.460912228,14.51000023
1980-03-14,4.45168829,14.47999954
1980-03-17,4.319489002,14.05000019
1980-03-18,4.396348953,14.30000019
1980-03-19,4.405576706,14.32999992
1980-03-20,4.353308678,14.15999985
1980-03-21,4.322566509,14.06000042
1980-03-24,4.196516991,13.64999962
1980-03-25,4.193441391,13.64000034
1980-03-26,4.171919346,13.56999969
1980-03-27,4.259030342,13.68999958
1980-03-28,4.259030342,13.68999958
1980-03-31,4.31814003,13.88000011
1980-04-01,4.32125473,13.89000034
1980-04-02,4.343029976,13.96000004
1980-04-03,4.32125473,13.89000034
1980-04-07,4.237254143,13.61999989
1980-04-08,4.280808449,13.76000023
1980-04-09,4.361697197,14.02000046
1980-04-10,4.402137756,14.14999962
1980-04-11,4.389693737,14.10999966
1980-04-14,4.352361679,13.98999977
1980-04-15,4.346139431,13.97000027
1980-04-16,4.299473286,13.81999969
1980-04-17,4.277695656,13.75
1980-04-18,4.255919456,13.68000031
