bucket,n,mean_fwd21%,med_fwd21%,win21%,dr_fwd21%,mean_fwd63%,med_fwd63%,win63%,dr_fwd63%
1,1081,0.139,0.061,50.6,-0.654,1.23,0.91,54.8,-0.863
2,1035,0.923,0.599,56.9,0.139,1.791,1.091,59.2,-0.283
3,1040,0.727,0.644,57.0,-0.069,2.157,1.844,61.2,0.065
4,1035,0.886,0.891,58.6,0.103,1.949,1.854,61.8,-0.124
5,1053,1.282,1.024,58.2,0.5,3.282,2.692,61.8,1.22
