date,preregistered_top5_monthly,recommended_top12_quarterly,benchmark_gbp
2021-07-01,1000.0,1000.0,997.4935791710467
2021-07-02,999.3686385281484,998.4722022307417,1003.1379713409742
2021-07-05,1001.9431401939647,1000.6219181136624,999.9562350143956
2021-07-06,983.3502810620663,982.9747848966939,997.988603926064
2021-07-07,978.8947781514673,979.6166682976726,1002.6295247260225
2021-07-08,974.4149884139457,973.4790109620063,992.4731618563274
2021-07-09,995.6445835620692,987.6876826882901,1005.2939509041595
2021-07-12,989.6232340099316,983.1182217786992,1002.3799156794296
2021-07-13,995.542599673204,986.0150925109119,1009.6905226570599
2021-07-14,989.8903534510383,978.704936689588,1002.6793672685149
2021-07-15,987.3275478233818,973.8911325489175,1000.7929714774003
2021-07-16,981.2374818453374,967.6420838909856,996.9695063712973
2021-07-19,947.5357738496476,938.6578746750731,988.5541215097957
2021-07-20,958.6618404955503,952.8331513919453,1000.6702678748161
2021-07-21,976.8064717086635,965.1360819604798,1004.7775209283507
2021-07-22,979.0727979933961,961.987541915162,1003.649967376333
2021-07-23,987.5077412578654,966.1364774244792,1013.6072183559437
2021-07-26,995.3185166572172,973.1362737009185,1011.7079471393026
2021-07-27,988.990393306884,963.4020048427958,1000.1866011631793
2021-07-28,986.7794729793642,962.1954675041851,1003.3226605754822
2021-07-29,996.5013719720831,973.016292543888,1006.4108267068251
2021-07-30,994.1732428912974,968.1308624045807,999.4292116666185
2021-08-02,989.3830946086393,968.8998089685537,1010.2882844744878
2021-08-03,984.3182208794185,966.5208265178393,1004.5457348549213
2021-08-04,973.4900797888107,962.5706162511917,1009.5050388963243
2021-08-05,979.4049826836609,965.0336810984663,1011.321157895342
2021-08-06,977.6814306090463,965.8126839224124,1010.6093230531488
2021-08-09,963.1547483957945,957.3062126501624,1016.5765125769067
2021-08-10,984.9059691232015,970.0497191005911,1018.1311038219214
2021-08-11,976.4667996464956,967.5856140669888,1018.6039344544482
2021-08-12,989.8055101815902,974.9658306067729,1024.1216268457285
2021-08-13,988.0401764760344,976.4567595229016,1028.4286877956208
2021-08-16,964.606550804658,963.5154558313219,1021.3385623838373
2021-08-17,964.9809978077043,963.4387110992342,1026.6599173239706
2021-08-18,960.8539087716165,958.88427053358,1025.0834978692994
2021-08-19,919.069946303562,933.8887823708042,1021.5774147262487
2021-08-20,925.7701845980222,940.9683231139895,1026.9114194072852
2021-08-23,952.1543307603745,955.4687614301004,1032.405903992654
2021-08-24,968.7822005263421,966.3638193180341,1034.516178835722
2021-08-25,975.510652053683,970.9511945913612,1033.1154291688651
2021-08-26,971.9161815195762,969.3802749379039,1034.453828170096
2021-08-27,988.745324643278,981.0771665034009,1040.1217527319961
2021-08-31,984.8229222061831,983.0203590550977,1040.5889910929352
2021-09-01,975.0551745114816,974.5656870701152,1042.6904004985156
2021-09-02,991.8808618627136,986.5485893046501,1041.2427384079322
2021-09-03,983.7050186982245,981.5676698062825,1041.123290633796
2021-09-06,982.4056379191412,985.0486099169502,1046.175192676505
2021-09-07,981.4752550678774,980.5094867595959,1043.272103702241
2021-09-08,982.3584071108112,976.7195425337973,1038.311091307349
2021-09-09,980.0148699226951,975.6566498845729,1035.6536485950498
2021-09-10,977.8010230665902,976.0087487927512,1031.116577443901
2021-09-13,988.8045031038381,978.862084855511,1027.0513628888884
2021-09-14,988.8901540867565,978.18932884618,1029.7246151975803
2021-09-15,1003.9710663831576,990.1486917081318,1023.630419148727
2021-09-16,999.5915243654516,986.1204329185091,1027.1199516108918
2021-09-17,995.7057380061033,979.7971388973634,1022.5687553990929
2021-09-20,982.9049778169274,966.6804676467452,1013.6327720571335
2021-09-21,981.0205263356613,965.2726526633476,1020.7961724516629
2021-09-22,1009.2793453633793,988.8125420228307,1030.3742784633714
2021-09-23,1021.5614739627559,997.2442045394397,1032.3351560428755
2021-09-24,1029.1154169478534,1002.7361334981584,1027.1572204921915
2021-09-27,1052.4879128530254,1018.4718527583061,1029.5659589528277
2021-09-28,1056.7199270703488,1020.7081527556495,1020.57421004868
2021-09-29,1067.8727791498775,1029.1092740390675,1031.1009814016786
2021-09-30,1061.2967381155245,1018.8448973420441,1022.7488721222734
2021-10-01,1059.5156425849107,1019.2665521673495,1017.9645201641266
2021-10-04,1079.0894191617228,1023.6463800404835,998.0735050054006
2021-10-05,1098.219398206247,1036.3131506931836,1012.7200282380776
2021-10-06,1076.992481710528,1019.4588787159063,1001.6321937837866
2021-10-07,1089.847227699439,1038.4770982711746,1024.5549047446877
2021-10-08,1109.0856341374024,1045.114732278664,1020.4300388101803
2021-10-11,1124.4086333430064,1056.3422004097322,1025.4502299402216
2021-10-12,1114.6515919819635,1049.6626526882417,1016.3635338246014
2021-10-13,1101.2284458376728,1044.7138164386752,1009.4006352532774
2021-10-14,1107.4488079082712,1057.4483290221772,1027.4407144210702
2021-10-15,1124.5140203594915,1071.5636515604128,1036.5074346844472
2021-10-18,1121.6252311085852,1066.9889937725966,1032.2490699999632
2021-10-19,1121.6180755432756,1068.2764945000483,1036.0290863949454
2021-10-20,1120.8210320063708,1067.1573944060142,1038.0989142523956
2021-10-21,1105.37020942858,1056.8609814843098,1037.9762723058277
2021-10-22,1117.8652746263638,1062.493370440832,1039.6537056337693
2021-10-25,1140.7086207906875,1077.1390344889687,1045.8771357898077
2021-10-26,1142.5456462566735,1080.7910675541198,1051.149174579292
2021-10-27,1127.757598197149,1069.1683628125043,1049.4845416511355
2021-10-28,1107.544194793486,1059.1340071690386,1049.3537381165443
2021-10-29,1115.2136103244347,1062.7995110048246,1047.9168904261392
2021-11-01,1137.5732185289737,1081.0732914391292,1062.2258601165
2021-11-02,1133.36206909003,1082.633860085535,1066.932654020775
2021-11-03,1118.5662815366845,1077.7057846877674,1070.154808452897
2021-11-04,1115.1837422960318,1080.4489422982379,1071.8220675495274
2021-11-05,1139.1965901630492,1100.6695179640199,1093.4520236251676
2021-11-08,1151.1834689092009,1109.1765323717889,1094.6117318889192
2021-11-09,1142.1760392597055,1099.4906662365686,1084.5598914967522
2021-11-10,1138.53364997791,1098.0025879377915,1083.8236044320013
2021-11-11,1139.1617294538144,1103.1418582084227,1090.6722850431136
2021-11-12,1134.665378173098,1105.675897454989,1099.8860332013699
2021-11-15,1129.6648524142672,1101.0894995381482,1098.572786914276
2021-11-16,1134.3586337331049,1101.0814377887664,1100.7591949556854
2021-11-17,1123.3308538967071,1091.6632156162082,1095.36886342679
2021-11-18,1111.8357164620113,1083.3310139021607,1090.2954426981325
2021-11-19,1075.3960130749003,1069.3421766797098,1089.8931169377017
2021-11-22,1098.0604882902192,1083.273946406911,1095.4210797904782
2021-11-23,1118.9132315367242,1087.4644373538245,1085.4876022907863
2021-11-24,1133.620852686987,1094.6634424632502,1088.9768265482082
2021-11-25,1132.4044797750125,1098.3540777063931,1097.3869585577975
2021-11-26,1040.041276487938,1035.7415049249614,1071.0708847901883
2021-11-29,1061.4269193218836,1049.416427446227,1077.340117929779
2021-11-30,1038.012033939531,1035.9777935895854,1065.9114121985046
2021-12-01,1055.840383775208,1052.8038320870073,1084.0978486989814
2021-12-02,1034.1669460449805,1037.5366469311077,1064.8671038823325
2021-12-03,1042.0804437785036,1037.0072697450037,1059.2905448254753
2021-12-06,1031.1717902963803,1048.1291012264098,1074.542135454905
2021-12-07,1074.3688823124257,1077.9689102977575,1097.142242043388
2021-12-08,1078.022096306584,1079.8512331382224,1098.530927327058
2021-12-09,1069.792597719477,1073.174314119037,1100.2777452228195
2021-12-10,1061.1507818591895,1065.467862134065,1095.6162318927159
2021-12-13,1058.1622058034209,1053.077398448685,1089.2632209355809
2021-12-14,1045.051119850658,1050.025642879766,1081.1036125929745
2021-12-15,1034.3943038624236,1035.8673077920776,1078.9671634512304
2021-12-16,1064.7486384880183,1061.0617296040343,1096.9950725770382
2021-12-17,1035.8165354689422,1041.4573044791666,1080.0984617985484
2021-12-20,1002.850320891158,1016.8706286555813,1065.1898143579901
2021-12-21,1040.6786300880387,1045.4706293191005,1082.267814265282
2021-12-22,1055.1427840305091,1055.1894497359087,1094.4642240164158
2021-12-23,1049.3358880980195,1062.1316635263556,1097.4879025150337
2021-12-24,1038.8561730624544,1056.2507911702087,1094.4975182889589
2021-12-29,1074.0496214753946,1070.316821184821,1102.1665578085829
2021-12-30,1061.534479558881,1069.618421391879,1099.7551799349542
2021-12-31,1048.901011056392,1062.6904824001563,1094.1582218129042
2022-01-04,1092.0295187605311,1089.8784500735858,1100.408822737447
2022-01-05,1099.670523577856,1090.2462292051612,1096.2475186978427
2022-01-06,1101.6914467146596,1077.0603033311231,1075.273189724981
2022-01-07,1105.484603336651,1075.9733518288201,1073.1152521178724
2022-01-10,1095.0840981465813,1060.5586911403182,1053.4076893864717
2022-01-11,1116.8617662692561,1079.709821670606,1070.5214705947171
2022-01-12,1133.8411152302328,1089.9045152794163,1077.5144255283824
