bucket,n,mean_fwd21%,med_fwd21%,win21%,dr_fwd21%,mean_fwd63%,med_fwd63%,win63%,dr_fwd63%
1,1081,0.418,0.154,50.9,-0.375,1.69,1.098,54.9,-0.404
2,1035,1.055,0.79,57.1,0.272,2.937,2.47,63.6,0.863
3,937,0.709,0.507,55.6,-0.059,2.023,1.784,58.7,-0.157
4,1038,0.702,0.655,56.5,-0.076,1.704,1.551,59.9,-0.362
5,1154,1.034,0.811,60.7,0.224,2.056,1.447,61.5,0.06
