event_date,day,event,clean,detail,USO_fri_date,USO_fri_close,USO_mon_date,USO_mon_open,USO_gap_pct,USO_mon_high_pct,USO_mon_low_pct,USO_T+0_pct,USO_T+1_pct,USO_T+2_pct,USO_T+3_pct,USO_T+4_pct,USO_T+5_pct,USO_gap_fade_pp,SPY_fri_date,SPY_fri_close,SPY_mon_date,SPY_mon_open,SPY_gap_pct,SPY_mon_high_pct,SPY_mon_low_pct,SPY_T+0_pct,SPY_T+1_pct,SPY_T+2_pct,SPY_T+3_pct,SPY_T+4_pct,SPY_T+5_pct,SPY_gap_fade_pp,UCO_sim_T+0_pct,SDS_sim_T+0_pct,PAIR_T+0_pct,UCO_sim_T+1_pct,SDS_sim_T+1_pct,PAIR_T+1_pct,UCO_sim_T+2_pct,SDS_sim_T+2_pct,PAIR_T+2_pct,UCO_sim_T+3_pct,SDS_sim_T+3_pct,PAIR_T+3_pct,UCO_sim_T+4_pct,SDS_sim_T+4_pct,PAIR_T+4_pct,UCO_sim_T+5_pct,SDS_sim_T+5_pct,PAIR_T+5_pct
2011-03-19,Sat,Libya intervention,True,Coalition airstrikes begin against Gaddafi,2011-03-18,327.76,2011-03-21,330.16,0.73,1.2,0.1,0.39,2.34,2.78,2.64,2.95,1.1,-0.34,2011-03-18,97.89,2011-03-21,99.11,1.24,1.76,1.13,1.55,1.2,1.49,2.46,2.77,2.52,0.31,0.78,-3.1,-2.32,4.7,-2.43,2.27,5.6,-2.99,2.61,5.3,-4.84,0.46,5.95,-5.42,0.53,2.13,-4.96,-2.83
2019-09-14,Sat,Abqaiq drone attack,True,5.7 mbpd Saudi production knocked offline — cleanest supply shock,2019-09-13,91.52,2019-09-16,99.92,9.18,15.03,8.83,12.15,7.43,5.77,6.56,6.64,6.73,2.97,2019-09-13,272.55,2019-09-16,271.42,-0.42,0.02,-0.54,-0.31,-0.06,0.0,-0.0,-0.48,-0.5,0.11,24.3,0.62,24.92,13.84,0.11,13.95,10.32,-0.01,10.31,11.96,0.0,11.96,12.14,0.95,13.09,12.33,0.99,13.32
2023-04-02,Sun,OPEC+ surprise cut,True,1.16 mbpd voluntary production cut announced Sunday,2023-03-31,66.44,2023-04-03,69.93,5.25,6.41,4.8,5.76,5.76,5.72,5.75,5.0,6.97,0.51,2023-03-31,393.96,2023-04-03,393.44,-0.13,0.48,-0.23,0.38,-0.18,-0.44,-0.05,0.05,0.08,0.51,11.53,-0.76,10.77,11.53,0.34,11.87,11.43,0.86,12.3,11.5,0.08,11.57,9.91,-0.13,9.78,14.04,-0.18,13.86
2023-10-07,Sat,Hamas attack on Israel,True,Surprise attack triggers ME risk premium,2023-10-06,74.16,2023-10-09,76.76,3.51,4.37,2.79,4.0,3.44,2.04,1.7,6.51,5.7,0.49,2023-10-06,416.35,2023-10-09,414.45,-0.46,0.78,-0.59,0.64,1.16,1.58,0.96,0.46,1.51,1.1,8.01,-1.28,6.73,6.83,-2.31,4.53,3.94,-3.11,0.83,3.25,-1.93,1.32,13.02,-0.95,12.07,11.31,-3.03,8.27
2023-12-23,Sat,Houthi Red Sea escalation,True,Tanker strikes + BP pauses Red Sea transits,2023-12-22,68.69,2023-12-26,70.52,2.66,3.51,2.07,2.21,0.33,-2.2,-2.97,-4.25,-0.73,-0.45,2023-12-22,460.96,2023-12-26,461.37,0.09,0.62,0.07,0.42,0.6,0.64,0.35,-0.21,-1.03,0.33,4.43,-0.84,3.58,0.59,-1.2,-0.61,-4.49,-1.28,-5.77,-6.0,-0.71,-6.7,-8.48,0.41,-8.07,-1.75,2.05,0.3
2024-04-13,Sat,Iran attacks Israel,False,"Telegraphed Friday, 99% intercepted — CONTAMINATED (pre-positioned)",2024-04-12,81.53,2024-04-15,81.0,-0.65,0.21,-1.77,0.15,-0.25,-3.21,-3.37,-3.29,-3.37,0.8,2024-04-12,498.71,2024-04-15,502.89,0.84,0.87,-1.42,-1.25,-1.43,-2.02,-2.22,-3.07,-2.18,-2.09,0.29,2.51,2.8,-0.49,2.88,2.39,-6.41,4.1,-2.32,-6.72,4.53,-2.2,-6.56,6.35,-0.21,-6.72,4.39,-2.33
2025-06-21,Sat,US B-2 strikes on Iran,True,Operation Midnight Hammer — Fordow/Natanz/Isfahan — CLOSEST ANALOG,2025-06-20,83.12,2025-06-23,83.25,0.16,0.54,-8.07,-8.07,-12.18,-11.8,-11.47,-11.84,-12.04,-8.23,2025-06-20,589.28,2025-06-23,590.04,0.13,1.05,-0.4,0.99,2.1,2.16,2.96,3.47,3.97,0.86,-16.15,-1.98,-18.12,-23.63,-4.14,-27.77,-22.98,-4.25,-27.23,-22.39,-5.75,-28.14,-23.05,-6.68,-29.73,-23.4,-7.58,-30.98
