Symbol,Success_Rate,Total_Samples,Successful_Trades,Current_Price,ATR_14,ATR_Pct,Avg_Volume_20d,Avg_Holding_Days
AMD,0.5335689045936396,2264,1208,147.41000366210938,4.434288024902344,3.008132361943726,64009775.0,1.7857459052678175
TSLA,0.5145759717314488,2264,1165,248.47999572753903,8.436431884765627,3.395215723529014,114775595.0,1.930057547587428
NVDA,0.5097173144876325,2264,1154,49.49443054199219,1.1742026047170893,2.372393402366493,370594350.0,2.3235945108455067
NFLX,0.4673144876325088,2264,1058,48.6879997253418,1.0786427089146196,2.2154179982735926,40211500.0,2.581230633023462
PYPL,0.4345182413470533,2138,929,61.26836395263672,1.5360915381571003,2.5071528584386065,16740725.0,2.821378340365682
META,0.4028268551236749,2264,912,351.50457763671875,7.372080389902395,2.0972928544678777,16731295.0,3.1031429836210713
CRM,0.3962014134275618,2264,897,259.98114013671875,4.200390917408604,1.6156521643068817,6200925.0,3.193891102257636
ADBE,0.3957597173144876,2264,896,596.5999755859375,13.954990931919642,2.3390867420358266,3541735.0,3.2439132359451084
AMZN,0.38648409893992935,2264,875,151.94000244140625,2.734285627092634,1.7995824556782385,46566110.0,3.227534307215582
BAC,0.38560070671378094,2264,873,32.091190338134766,0.653560976244813,2.0365744285532785,43189755.0,3.2319610447100486
INTC,0.37720848056537104,2264,854,49.58590316772461,1.3906610142122824,2.8045491266103664,41477555.0,3.276671093404161
AAPL,0.3621908127208481,2264,820,190.7287750244141,2.5615203538929063,1.343017252412501,53159060.0,3.458167330677291
NKE,0.3418727915194346,2264,774,104.28913116455078,2.8439739361738137,2.727008945626845,10928160.0,3.5347498893315628
GOOGL,0.33568904593639576,2264,760,138.64244079589844,2.549308235867067,1.8387646821798345,30999780.0,3.5166002656042497
JPM,0.32641342756183744,2264,739,161.95835876464844,1.9886052809870793,1.2278497362873644,9238455.0,3.6653386454183265
MSFT,0.3197879858657244,2264,724,370.51568603515625,4.751290429893321,1.282345284955762,26104085.0,3.6888003541389995
MA,0.31625441696113077,2264,716,421.0021362304688,5.388790181880239,1.2799911729973406,2528090.0,3.6706507304116864
CVX,0.3113957597173145,2264,705,136.6641082763672,2.245397015128069,1.6430041826251445,11142060.0,3.5427180168216026
HD,0.29902826855123676,2264,677,330.0364074707031,5.107986626510528,1.5477039838291045,4255590.0,3.9229747675962816
XOM,0.29814487632508835,2264,675,93.25930786132812,1.5377538677482454,1.648901222851458,22696830.0,3.556440903054449
DIS,0.2875441696113074,2264,651,88.50013732910156,1.3169360509623556,1.4880610253350495,11079130.0,3.7078353253652057
CSCO,0.2831272084805654,2264,641,47.443504333496094,0.5587666551283021,1.1777516500479104,19602555.0,3.8826914563966355
COST,0.2579505300353357,2264,584,651.9500732421875,11.766709631706801,1.804848272075534,2727575.0,4.087649402390438
V,0.25574204946996465,2264,579,256.5528869628906,2.978768039000875,1.1610736773473698,5499835.0,3.8911022576361223
WMT,0.2252650176678445,2264,510,51.435245513916016,0.5919319650209661,1.15082947326618,27196155.0,4.241699867197875
PG,0.15945229681978798,2264,361,138.31805419921875,1.7644102955581584,1.2756182161273668,7167570.0,4.436033643204958
