Date,r_silver,r_gold,beta,w_3sil,w_3gos,r_under,r_letf
2013-02-26,0.00941933957946195,0.018282688748398224,1.894779193446337,0.3454494913684469,0.6545505086315531,-0.025222318661258458,-0.026139111457993858
2013-02-27,-0.01069865052609209,-0.012382367882991407,1.8325855164768743,0.35303435472048317,0.6469656452795167,0.011993097515966378,0.01270192632794706
2013-02-28,-0.01893377744774971,-0.01097041156949885,1.77998278463383,0.3597144577755781,0.6402855422244218,0.0005933662863060393,0.0006403272958226576
2013-03-01,0.0019721695705787745,-0.0036761912513875172,1.7439517112776246,0.36443790023345024,0.6355620997665499,0.008383269594419866,0.009165543504243914
2013-03-04,0.00021090712993476757,0.00012720349180583845,1.7294303726513618,0.3663768125466423,0.6336231874533577,-9.08245230155807e-06,-9.98279977305525e-06
2013-03-05,0.003724882812374375,0.001590229653854136,1.7198938508902526,0.3676614069599402,0.6323385930400599,0.0009898566092073112,0.0010917962208892677
2013-03-06,0.006897052320637531,0.0,1.7207331982070715,0.36754798326384497,0.6324520167361551,0.006897052320637531,0.007604993012746639
2013-03-07,0.00024339253917649017,0.00012706290187325386,1.7281455276073017,0.3665493610515133,0.6334506389484867,2.3809353579421074e-05,2.6181910024759066e-05
2013-03-08,0.004936218492894273,0.001142955741683993,1.731304434110949,0.3661254261923769,0.6338745738076231,0.0029574141493242077,0.003248353547546074
2013-03-11,-0.003355360639909599,0.0007611780164726856,1.7364593336971037,0.365435724801708,0.6345642751982921,-0.004677115311218642,-0.0051275550712090515
2013-03-12,0.011071784017064656,0.008682945080430438,1.7312113703855792,0.3661379016076756,0.6338620983923244,-0.003960229234610044,-0.004349970065536477
2013-03-13,-0.007174474960246924,-0.002010651066211122,1.695733070582824,0.37095660950726017,0.6290433904927399,-0.003764947453870109,-0.004189896427381941
2013-03-14,-0.005186415921750842,0.0014480429938343864,1.6294648442609088,0.3803055219325743,0.6196944780674257,-0.0075459510731822905,-0.00860930058409278
2013-03-15,0.0015640232620699468,0.0011945331593272712,1.6248266993849745,0.380977532815523,0.6190224671844771,-0.00037688610850568913,-0.00043075541931282286
2013-03-18,0.0008328475662588986,0.007598100838893229,1.6254220613144799,0.3808911392705088,0.6191088607294911,-0.011517273161370212,-0.013160481887171867
2013-03-19,-0.0010748634844676141,0.0041755411592481195,1.631784697552173,0.3799702919961886,0.6200297080038114,-0.007888447652127956,-0.008992127273327124
2013-03-20,-0.0009371232349163483,-0.0023583744262211104,1.6162153876922827,0.3822315260067644,0.6177684739932355,0.002874517802682168,0.0032961939787584486
