date,close,ret,pos_streak_prior,neg_streak_prior,next_ret,next_sign
2012-12-17,3.0287399291992188,0.04107240950645363,0,1,0.04107240950645363,1
2012-12-18,3.169290065765381,0.046405482098729633,1,0,0.046405482098729633,1
2012-12-19,3.1184699535369873,-0.01603517228585405,2,0,-0.01603517228585405,-1
2012-12-20,3.12716007232666,0.0027866610610811637,0,1,0.0027866610610811637,1
2012-12-21,3.026360034942627,-0.03223373126180784,1,0,-0.03223373126180784,-1
2012-12-24,3.00314998626709,-0.0076692952614862975,0,1,-0.0076692952614862975,-1
2012-12-27,2.84867000579834,-0.05143931577682148,0,2,-0.05143931577682148,-1
2012-12-28,2.8810598850250244,0.011370175963083318,0,3,0.011370175963083318,1
2012-12-31,2.7670700550079346,-0.03956524146185869,1,0,-0.03956524146185869,-1
2013-01-02,3.2160699367523193,0.16226545509094348,0,1,0.16226545509094348,1
2013-01-03,3.362149953842163,0.04542190311861183,1,0,0.04542190311861183,1
2013-01-04,3.2089500427246094,-0.04556605541715397,2,0,-0.04556605541715397,-1
2013-01-07,3.2156100273132324,0.0020754404088410006,0,1,0.0020754404088410006,1
2013-01-08,3.1476399898529053,-0.021137525036616034,1,0,-0.021137525036616034,-1
2013-01-09,3.24330997467041,0.030394195373650623,0,1,0.030394195373650623,1
2013-01-10,3.24330997467041,0.0,1,0,0.0,0
2013-01-11,3.266479969024658,0.0071439346023665085,0,0,0.0071439346023665085,1
2013-01-14,3.237410068511963,-0.0088994577613698,1,0,-0.0088994577613698,-1
2013-01-15,3.184119939804077,-0.016460728662767155,0,1,-0.016460728662767155,-1
2013-01-16,3.2502799034118652,0.020778100341238614,0,2,0.020778100341238614,1
2013-01-17,3.2502799034118652,0.0,1,0,0.0,0
2013-01-18,3.2502799034118652,0.0,0,0,0.0,0
2013-01-21,3.2502799034118652,0.0,0,0,0.0,0
2013-01-22,3.235290050506592,-0.004611865239525503,0,0,-0.004611865239525503,-1
2013-01-23,3.3376200199127197,0.0316293030326924,0,1,0.0316293030326924,1
2013-01-24,3.296750068664551,-0.012245237925327945,1,0,-0.012245237925327945,-1
2013-01-25,3.2428600788116455,-0.016346398340937984,0,1,-0.016346398340937984,-1
2013-01-28,3.289940118789673,0.014518060857957149,0,2,0.014518060857957149,1
2013-01-29,3.284940004348755,-0.0015198192855733206,1,0,-0.0015198192855733206,-1
2013-01-30,3.2970499992370605,0.0036865193495996262,0,1,0.0036865193495996262,1
