Date,r_spx_cc,r_ndx_cc,r_spx_oc,r_ndx_oc,beta,z_spx,z_ndx,r_pair_cc,r_pair_oc,fwd1_pair_oc,fwd1_spx_oc,fwd1_ndx_oc,fwd1_letf_oc
1985-12-27,0.009438992398161483,0.008746015412729014,0.009438992398161483,0.008746015412729014,1.0674169344796698,1.4604666951733225,1.0387181593334924,-0.001329324917493423,-0.001329324917493423,-0.0018221240030146168,0.005104680417508778,0.0034985489731287345,-0.002676559834065166
1985-12-30,0.005104680417508778,0.0034985489731287345,0.005104680417508778,0.0034985489731287345,1.042312650541987,0.7901868378131265,0.42433115869235793,-0.0018221240030146168,-0.0018221240030146168,-0.0003065587507200679,0.0028479500872158336,0.0026525508757337946,-0.0004510358411477085
1985-12-31,0.0028479500872158336,0.0026525508757337946,0.0028479500872158336,0.0026525508757337946,1.0390314211393707,0.44013963297141795,0.3219603195443385,-0.0003065587507200679,-0.0003065587507200679,0.0004099427004565122,-0.007998875668167815,-0.007861168604460067,0.0006046250739074135
1986-01-02,-0.007998875668167815,-0.007861168604460067,-0.007998875668167815,-0.007861168604460067,1.0340342378157155,-1.2546343346495588,-0.9667701808480778,0.0004099427004565122,0.0004099427004565122,-0.01149128077911545,0.0061549146784762865,-0.0053712377039194514,-0.0172858890827654
1986-01-03,0.0061549146784762865,-0.0053712377039194514,0.0061549146784762865,-0.0053712377039194514,0.9943343482238295,0.9628586518099612,-0.6862520779450753,-0.01149128077911545,-0.01149128077911545,-0.00044142598967769403,-0.0010907197505801713,-0.0014937366500208382,-0.000674006364408174
1986-01-06,-0.0010907197505801713,-0.0014937366500208382,-0.0010907197505801713,-0.0014937366500208382,0.9647855553944111,-0.1703516470860271,-0.19330695484122137,-0.00044142598967769403,-0.00044142598967769403,0.004289992373196149,0.014953758587913368,0.018679741002663564,0.006558675125388535
1986-01-07,0.014953758587913368,0.018679741002663564,0.014953758587913368,0.018679741002663564,0.9622830638110057,2.3300919498680503,2.44837369902937,0.004289992373196149,0.004289992373196149,0.014492919289055297,-0.027268483385584075,-0.0122749431917748,0.021940783883825598
1986-01-08,-0.027268483385584075,-0.0122749431917748,-0.027268483385584075,-0.0122749431917748,0.9816410433365488,-4.1209936752287035,-1.559138905528222,0.014492919289055297,0.014492919289055297,-0.00920692012823036,-0.008943600516584493,-0.01683143199778603,-0.014909908931546636
1986-01-09,-0.008943600516584493,-0.017993294788488434,-0.008943600516584493,-0.01683143199778603,0.8525103346708316,-1.173726574976031,-2.255771931138816,-0.010368782918932767,-0.00920692012823036,0.006568264332413059,-0.0007277371114463582,0.005939436114306806,0.010570747184131932
1986-01-10,-0.0007277371114463582,0.005939436114306806,-0.0007277371114463582,0.005939436114306806,0.8640870559101664,-0.09512434822175582,0.7310896082409277,0.006568264332413059,0.006568264332413059,-0.006808932215278563,0.0036900101090584503,-0.003627532218167251,-0.01096937672969577
1986-01-13,0.0036900101090584503,-0.003627532218167251,0.0036900101090584503,-0.003627532218167251,0.8621656589236512,0.48266136378623836,-0.4457405145271645,-0.006808932215278563,-0.006808932215278563,0.0009915336329557566,-0.0003870057593956533,0.0006583636413064475,0.0015984815902156764
1986-01-14,-0.0003870057593956533,0.0006583636413064475,-0.0003870057593956533,0.0006583636413064475,0.8608915592615111,-0.051134557341261704,0.08093458496016988,0.0009915336329557566,0.0009915336329557566,0.011447836306101716,0.00783969764795045,0.01823046229952019,0.01841312863076501
1986-01-15,0.00783969764795045,0.01823046229952019,0.00783969764795045,0.01823046229952019,0.8651642318363731,1.036926443076613,2.241392421285856,0.011447836306101716,0.011447836306101716,0.007738359206930083,0.004369555776971401,0.01159382562836142,0.012333045927883647
1986-01-16,0.004369555776971401,0.01159382562836142,0.004369555776971401,0.01159382562836142,0.8823474554897694,0.5769160757717573,1.3863857225333058,0.007738359206930083,0.007738359206930083,0.0009455753024019617,-0.0035378185191088374,-0.002179417491760538,0.0015062442828238168
1986-01-17,-0.0035378185191088374,-0.002179417491760538,-0.0035378185191088374,-0.002179417491760538,0.8833106552197237,-0.4670282740075941,-0.2600947726424792,0.0009455753024019617,0.0009455753024019617,-0.004963358862401135,-0.0043179673180929745,-0.008774636645571876,-0.00790908174947891
1986-01-20,-0.0043179673180929745,-0.008774636645571876,-0.0043179673180929745,-0.008774636645571876,0.8826555419261458,-0.5689152507949754,-1.046428697718407,-0.004963358862401135,-0.004963358862401135,0.003577464079711534,-0.008384356494959166,-0.003913220670700324,0.005668281498347343
1986-01-21,-0.008384356494959166,-0.003913220670700324,-0.008384356494959166,-0.003913220670700324,0.8934120054312337,-1.1013831623887151,-0.46031903537890206,0.003577464079711534,0.003577464079711534,-0.001270106283426116,-0.011176383050709449,-0.011251742207122328,-0.0020127396174265833
1986-01-22,-0.011176383050709449,-0.011251742207122328,-0.011176383050709449,-0.011251742207122328,0.8931007355785469,-1.4519446384457493,-1.3180909598529924,-0.001270106283426116,-0.001270106283426116,-0.005957525459830116,0.0037348001686572374,-0.0026617382716642712,-0.009494299393304532
1986-01-23,0.0037348001686572374,-0.0026617382716642712,0.0037348001686572374,-0.0026617382716642712,0.8824534216915734,0.47739707667364634,-0.3143713411770267,-0.005957525459830116,-0.005957525459830116,-0.0021760914520029904,0.010673158755355017,0.0071941877082413175,-0.003476315235619764
1986-01-24,0.010673158755355017,0.0071941877082413175,0.010673158755355017,0.0071941877082413175,0.8779293342322845,1.363272575778056,0.8482250067410182,-0.0021760914520029904,-0.0021760914520029904,0.000533634581792319,0.004650519536543163,0.004531287812246765,0.0008608794417719937
1986-01-27,0.004650519536543163,0.0045699019558322895,0.004650519536543163,0.004531287812246765,0.8596143289026998,0.5903990611140462,0.5461175692918486,0.0005722487253778438,0.000533634581792319,-0.0007792773674203026,0.011522511863594653,0.009136491004611447,-0.0012565232769291043
1986-01-28,0.011668827696935224,0.009136491004611447,0.011522511863594653,0.009136491004611447,0.8605561434361022,1.481134978389483,1.0911805882343706,-0.0009051903566835041,-0.0007792773674203026,0.0061521523576399725,0.002287763848836777,0.00810661429577042,0.009953269200982356
1986-01-29,0.002287763848836777,0.00810661429577042,0.002287763848836777,0.00810661429577042,0.8543110509960207,0.2867672328887888,0.96506676518488,0.0061521523576399725,0.0061521523576399725,-0.002618919390872643,-0.0045650838638428,-0.006538367151287416,-0.004227311717878314
