Date,r_ftse250,r_ftse100,beta,w_2mcl,w_3uks,r_under,r_letf
1998-03-30,-0.0008856340728736756,-0.004613321981511209,0.17447469331046717,0.89580332625659,0.10419667374340993,-8.072613500707067e-05,-0.0001446294805103447
1998-03-31,-0.0005245559116188181,0.0034338018748765187,0.17741317799120304,0.8942340621148182,0.10576593788518182,-0.0011337576148328127,-0.0020276893547311065
1998-04-01,0.0017012166557868191,0.014395991290252041,0.17802437229352502,0.8939083512534438,0.10609164874655615,-0.0008616206572033538,-0.0015404198021731178
1998-04-02,0.0018067500818241822,0.005849459329303031,0.17484471383884015,0.8956054179864317,0.1043945820135683,0.00078400303928026,0.0014043147393944602
1998-04-03,0.002308522114347289,0.001883490449522407,0.1741690443250871,0.8959668708990493,0.10403312910095072,0.001980476382758543,0.0035488824550992783
1998-04-06,0.00014391188164775137,0.006859867424422461,0.1661098369922278,0.9003007885169801,0.09969921148301983,-0.0009955795780113572,-0.0017926421582300544
1998-04-07,-0.0019429700772242153,-0.0019325567599581817,0.11026598356685968,0.9315231243209819,0.06847687567901813,-0.0017298748052886428,-0.003222836766613254
1998-04-08,-0.004776840351415346,-0.006366886230308455,0.11501549830415267,0.928783656612011,0.07121634338798898,-0.004044549758990571,-0.00751302342900898
1998-04-09,0.0014851581906170086,0.008306877240233712,0.1289946115795795,0.9208133589499735,0.0791866410500265,0.0004136157875738115,0.0007617258853411602
1998-04-14,0.0022606840724033184,-0.00022928545471301298,0.13729455072191438,0.9161454787341846,0.08385452126581537,0.0022921637158952114,0.004199910849671892
1998-04-15,0.0007579117724438866,-0.004914729365515957,0.15947860008855055,0.9038983689937063,0.0961016310062936,0.001541705931470462,0.002787090953848146
1998-04-16,-0.0016588884443743401,-0.011870087172924704,0.16046200928939006,0.9033630348712036,0.09663696512879644,0.00024580959383337336,0.0004441106013715482
1998-04-17,-0.0031786609586461623,-0.013295535602715791,0.1647690899101668,0.9010258594367234,0.09897414056327654,-0.00098796765751846,-0.0017803688154225143
1998-04-20,0.001395076597835665,0.005386495101769695,0.17464741972324324,0.8957109313481008,0.10428906865189924,0.00045433912695969927,0.0008139130451139105
1998-04-21,0.002985398739174361,0.00015113994205506742,0.16837094635347685,0.8990806290882243,0.10091937091177575,0.0029599511640987395,0.005322469509376633
1998-04-22,0.004888714170664832,-0.003996608679680991,0.1639192951324619,0.9014860302347701,0.09851396976522983,0.0055438354483584185,0.009995380421230857
1998-04-23,0.006085612125258155,-0.005580674495258009,0.17212625563120726,0.8970614479310166,0.10293855206898339,0.007046192730023494,0.012641735705591756
