period,weeks,stress_weeks,corr_equity_bond,corr_equity_bond_stress,mean_bond_in_stress,corr_equity_gold,corr_equity_gold_stress,mean_gold_in_stress
full sample,1815,91,0.10971009409279432,-0.2366942701946701,0.0014628788341311373,0.11350667088093633,-0.28252509388692426,0.00020128844482151937
1990s,427,15,0.6357230682660225,0.04983036990937787,-0.012257714008134054,0.40147801271870964,0.3676481043859936,-0.014866076240238398
2000s,521,42,-0.004854160902103209,-0.13852899502784752,-7.515571055435215e-05,-0.00079221923079762,-0.46623969334478255,0.0014964938075434722
2010s,522,21,-0.008209475015389293,0.022546218456377942,0.007859080935854862,0.08807329646993514,-0.08697219363526322,0.008026769625283618
2020s,345,13,-0.1482692092701945,-0.7501112079149631,0.011931040324482693,0.09829818748216199,0.493187183769246,0.0007610376949655709
2022 only,52,3,-0.0832763409165091,,-0.0038481410572526555,-0.14422982625362413,,0.01333530986618836
