period,weeks,stress_weeks,corr_equity_bond,corr_equity_bond_stress,mean_bond_in_stress,corr_equity_gold,corr_equity_gold_stress,mean_gold_in_stress
full sample,1815,91,-0.15148468560705747,-0.003371626226071797,0.006307211156448324,0.11586151224347893,-0.031812694569928274,-0.002624616575849079
1990s,427,7,0.1797409584008007,-0.7119033738733603,0.004042423021111733,0.012740270196374196,0.5144966159722207,-0.012296443798378591
2000s,521,41,-0.26415318039881835,0.10729206056457823,0.00613938849234834,0.059183135575726284,-0.19641132953922508,0.0017102244612917784
2010s,522,26,-0.40655651674891047,-0.261865135075246,0.009894770583925534,0.11614178099565715,-0.17049663536287227,-0.002637241700816413
2020s,345,17,0.06359900130996723,-0.1271110633299605,0.0021576641600393872,0.2950502591909194,0.6572595316132409,-0.009077407088550133
2022 only,52,6,0.25840557965857597,0.6647704942709497,-0.004851489099305495,0.21827379141691455,0.38092395628117603,-0.00045950993996970074
