start,end,Never (drift),Monthly,Quarterly,Semi-annual,Annual,Daily (constant mix),Band 5pp (daily check),Band 25% rel (daily check),5/25 rule (daily check),Band 5pp (monthly check),5/25 rule (monthly check),5/25 rule (annual check),Drawdown trigger -15%,Drawdown trigger -20%
1991-11-01,2001-10-30,60.46020026736487,0.0,23.912630382811884,6.081011144487558,26.593172908324636,-331.52187015404786,36.20015227089102,20.079815695697167,36.20015227089102,24.081437539877903,24.081437539877903,70.64699235995953,73.24027091768492,59.849048795177495
1991-12-03,2001-11-29,70.84140143423845,0.0,24.865898627772776,1.8985480999522686,21.12825046425071,-332.54681198432667,34.89014867916307,20.916518943330242,34.89014867916307,25.035892968952034,25.035892968952034,61.29166603140446,68.38682824068076,56.50986751168708
1992-01-03,2001-12-31,72.94665509365971,0.0,26.601656798503903,2.7151658264235046,21.531907669538608,-328.1529440886355,35.99273803801317,22.419173381003077,35.99273803801317,26.568901362802322,26.568901362802322,59.96321021284112,68.17655449660842,57.033706252163086
1992-02-03,2002-01-31,67.06153396885296,0.0,26.494756874471115,2.2457334358239045,20.909163611233517,-326.8575032600163,36.228944471397014,21.517011507903305,36.228944471397014,25.63626837020383,25.63626837020383,59.31377656410941,68.60558944283612,58.29792465141148
1992-03-04,2002-03-04,63.97780340783754,0.0,26.489088231140823,2.273156900762796,20.91111750402108,-324.4498994196898,35.86326037040122,21.049869040794533,35.86326037040122,25.229062852225592,25.229062852225592,58.79851760408394,68.09088404543529,57.56604816521404
1992-04-02,2002-04-03,61.04718811145382,0.0,26.69239620403996,2.302161170886219,20.960196025190392,-323.24565515841954,35.91025414857229,20.703786048579254,35.91025414857229,24.90933088342917,24.90933088342917,58.87114353892109,68.17355192285434,57.76519656704116
1992-05-04,2002-05-02,55.914828654453075,0.0,26.430138684816473,2.440154341512013,21.070503237112792,-321.06176914308503,35.07283285899332,19.045562732409316,35.07283285899332,23.207937490070663,23.207937490070663,58.17139750842415,67.43962996146324,57.731244762002646
1992-06-03,2002-06-03,45.28918234111501,0.0,27.032246791445225,3.9997211897180307,22.671190608880565,-320.049538817897,36.59823393710626,18.615486223882982,36.59823393710626,22.78786487019291,22.78786487019291,59.973582228929345,69.23704185615165,60.668249665409846
1992-07-02,2002-07-02,39.934903938543265,0.0,27.871004447417302,4.675908760500835,24.460149339848858,-316.7405518772881,38.158465877820014,18.457779568039623,38.158465877820014,22.45260970866969,22.45260970866969,61.948007305459015,71.10658418242099,61.764527012388996
1992-08-03,2002-08-01,33.547908310263,0.0,27.527269650222674,4.549871140846484,27.48262371468968,-311.94691754116377,37.89347775255969,18.65796965097699,37.89347775255969,22.44673145777476,22.44673145777476,64.44635984170111,73.45472421544042,61.42138564731559
1992-09-01,2002-08-30,33.30632861748839,0.0,27.321406043196994,4.144224754050185,26.749878549308104,-312.12127528355006,37.419969908196734,17.85235794389939,37.419969908196734,21.692568285764935,21.692568285764935,63.79411771544996,72.88689434871375,60.98432458030878
1992-10-01,2002-10-01,23.3781709206915,0.0,30.44335981960078,7.663436546638813,34.70038961092436,-304.15549335597757,38.66299050592437,22.178769922607255,38.66299050592437,25.676137688623868,25.676137688623868,71.12941230500213,79.97965732875923,63.82937039441261
1992-10-30,2002-10-30,26.560205526167113,0.0,30.207045338248584,5.502634826743957,30.32767579522755,-299.91739339690906,42.919841736068776,19.135933453402476,42.919841736068776,25.343359701763823,25.343359701763823,66.10364702832605,74.90811937381325,60.76911315903377
1992-12-01,2002-11-29,28.6495724071556,0.0,30.428429581546013,2.4973654310023186,24.693331053238232,-299.14821212962516,43.92895667188368,15.092114321904049,43.92895667188368,25.25152141448217,25.25152141448217,59.92274867068215,68.7683557177854,56.9236058973499
1992-12-31,2002-12-31,13.571309153788125,0.0,27.166222317966948,4.699992827115196,31.838294566644,-297.66556998057195,38.06880589020567,17.832283702217122,38.06880589020567,21.33268540182698,21.33268540182698,66.41295165612738,76.33781992395727,58.41905170085093
1993-02-01,2003-01-31,4.710482215499745,0.0,28.01204217234954,3.4747037736870823,28.51217448609722,-294.61678010523684,36.628413850641195,21.63876525745012,36.628413850641195,20.88952286507295,20.88952286507295,61.98389369342028,74.79239710371344,60.119465909673764
1993-03-03,2003-03-04,6.831875518971131,0.0,27.861303072735932,3.3278734377262253,28.36135571610665,-294.14842266255016,34.55838967493463,20.565451587002403,34.55838967493463,19.264160805985142,19.264160805985142,61.04688798847402,73.58375601314471,60.308250193059635
1993-04-01,2003-04-02,17.235040837979554,0.0,27.213630982170223,1.9781962784692908,27.164725359554165,-294.7080356981036,36.20141177905545,22.861640012228346,36.20141177905545,19.325172196691387,19.325172196691387,60.953452718264245,74.74082697650486,56.147255093814685
1993-05-03,2003-05-02,19.936066135528563,0.0,27.55936931461811,1.4082127445957937,26.71074570493648,-295.4889926675075,39.00524230937785,25.12316809121451,39.00524230937785,21.213602582181856,21.213602582181856,62.38284041607534,76.83712465063941,55.31840290451395
1993-06-02,2003-06-03,19.299228619731323,0.0,27.512710210340074,1.3542765911123134,26.656100049051723,-294.68552166874053,40.13979520604005,25.92527841096537,40.13979520604005,22.31987585617823,22.31987585617823,63.32011358465728,77.77445794542315,56.202050571165785
1993-07-01,2003-07-02,25.652429861779957,0.0,27.55986334924021,1.124325828447681,26.44404169157122,-293.09908192692416,42.02715210893659,28.172995685584734,42.02715210893659,23.437535943555687,23.437535943555687,64.00660882490028,79.06087024869058,54.62421416762453
1993-08-02,2003-08-01,25.885467531634454,0.0,27.49424997158245,1.067057215775602,25.397505846829205,-292.26456667161614,44.758241674429655,30.203463064331082,44.758241674429655,25.723738716227906,25.723738716227906,65.72105937646234,81.0674316084925,55.160871976343
1993-08-31,2003-09-02,22.36591844570368,0.0,29.804943429267983,3.2336081408179673,29.69124530751044,-292.07054807199205,44.52035227010987,29.72769493884364,44.52035227010987,25.78800435292683,25.78800435292683,65.42043311495105,81.02284783966462,54.021229960465874
1993-09-30,2003-10-01,19.573530804910533,0.0,28.520746070621605,2.073242998812397,28.75464098905489,-290.8773301490797,42.946646024220044,26.745149054492323,42.946646024220044,22.92636197722464,22.92636197722464,62.94701852546547,78.16883460071145,52.91971409185025
1993-10-29,2003-10-30,23.918897303527586,0.0,28.49274197554097,2.8633669662236905,29.778135190581256,-289.71212448324127,43.45983091682548,29.908307869588313,43.45983091682548,25.575821601127036,25.575821601127036,64.8687148468241,80.70109986768381,52.46886260488415
1993-11-30,2003-12-01,23.60901270572313,0.0,28.597048418310678,3.5282430774730145,30.321523888130475,-289.8175625092647,44.085252166685684,31.042977948758654,44.085252166685684,26.94603956002073,26.94603956002073,65.97775847991372,81.97817091036397,52.976745824258046
1993-12-30,2003-12-31,24.82418139614806,0.0,28.330775532983132,4.1711027743818185,30.429468425994255,-288.5360185945274,45.333379785457154,32.74924953814651,45.333379785457154,28.721195124661314,28.721195124661314,67.48113032193359,83.55716235677768,54.07520195096049
1994-01-28,2004-02-02,31.732688686851862,0.0,28.427410141664833,4.551308046643054,30.900597505461036,-287.78806279410986,44.323093644180744,34.09655616181561,44.323093644180744,28.52581717542213,28.52581717542213,67.39911082500826,84.04555428059402,52.055001211048776
1994-03-01,2004-03-03,37.663391820870196,0.0,29.011090932289374,5.088007152180829,31.48914485719745,-288.1154851087575,45.75261707515432,36.8618905391771,45.75261707515432,29.49745249310798,29.49745249310798,69.4134115873446,86.42333049257545,52.91855635803033
1994-03-30,2004-04-01,27.98512236506845,0.0,28.099483564971717,4.193750386383144,30.662968411883096,-288.1206087078114,46.27045071960989,34.404550208364526,46.27045071960989,30.867321140779502,30.867321140779502,68.85324282543515,85.19353906031535,54.73091714520706
1994-05-02,2004-05-03,34.68484049267806,0.0,28.12255862471691,4.4547959948748606,30.984068841792833,-288.17848516803133,45.5121130185554,35.86743235520995,45.5121130185554,29.36997764136473,29.36997764136473,69.0351562773972,85.95645463733703,53.02939865847955
1994-06-01,2004-06-02,34.03021779692317,0.0,27.92150141011085,4.225349863229422,30.63045292874156,-286.094901498295,45.71618096200769,36.35654766439789,45.71618096200769,29.41314261129424,29.41314261129424,69.37454032958534,86.28154478877326,53.155835966991475
1994-06-30,2004-07-02,34.99610741597658,0.0,28.4061620052678,4.409779748089093,30.94791867990887,-286.70759199219464,46.74616050044822,37.01419798812555,46.74616050044822,30.55585873658284,30.55585873658284,70.3122763471109,87.22950690635001,54.32631186809145
1994-08-01,2004-08-03,31.59905468204549,0.0,28.123053975572798,4.344471170596442,30.487114831045936,-284.9140900370473,44.37918927877371,33.58082303591247,44.37918927877371,28.860832027157723,28.860832027157723,67.16330445315944,83.72090483737216,52.30747744067177
1994-08-30,2004-09-01,27.191390073288968,0.0,28.164501676395393,4.356746438101133,30.09906731093359,-284.2950766932728,43.273014410460945,31.28481715596987,43.273014410460945,28.166557811646342,28.166557811646342,65.55986027607207,81.84778835010009,51.691316161179834
1994-09-29,2004-10-01,29.539342186690742,0.0,28.295824475239595,4.411888634034966,30.32726448783052,-285.4304625201687,45.26634308640753,34.14175559622423,45.26634308640753,29.509087238110965,29.509087238110965,68.31416657476996,84.95211772635346,53.43229596671995
1994-10-28,2004-11-01,26.676362390021247,0.0,28.36568072825063,4.113119147655109,29.940120668148218,-284.71292084403467,43.85613138997435,32.42280733294134,43.85613138997435,28.136853213769353,28.136853213769353,66.8452090142546,83.4275779034499,52.172740870142235
1994-11-29,2004-12-01,29.086487780560777,0.0,28.49472079463622,4.3098530077601005,30.26358348809266,-283.87189676309487,46.088656250045105,36.65096835695492,46.088656250045105,29.164154893808192,29.164154893808192,70.39463262554335,87.45817171004866,53.77325034776837
1994-12-29,2004-12-31,37.07785800186825,0.0,28.395857683354286,3.650683892886253,30.52219533220546,-283.3453537185826,46.147171574311145,39.14557759944648,46.147171574311145,28.42843815000995,28.42843815000995,71.44836747049243,89.11065801280537,52.794879159610005
1995-01-30,2005-02-01,37.64259237858391,0.0,28.361576645241637,3.665539975348242,30.561063226477447,-282.80348383446176,44.81283837188377,37.69617800285508,44.81283837188377,27.31711593394026,27.31711593394026,70.13581649576662,87.55980921918427,51.434767331628436
1995-03-01,2005-03-03,37.373855572684356,0.0,27.703898248734316,3.0875732495583286,29.896285522805766,-281.24550265458794,44.276108128606936,38.265984614063164,44.276108128606936,26.17863978496393,26.17863978496393,68.26567843515986,87.88282775896717,50.529563742924836
1995-03-30,2005-04-04,34.01006243861859,0.0,27.352947788013005,2.8558942999978854,29.613741594525234,-279.89511903725895,42.24994177636443,37.552937892542104,42.24994177636443,24.709502951345552,24.709502951345552,67.13391677822811,84.92103093647341,48.85980924259847
1995-05-01,2005-05-03,29.518335200136026,0.0,27.458954102606015,2.42313323079113,29.1278591529176,-278.7440998098134,40.43016934743626,36.85869077734605,40.43016934743626,23.37767607475172,23.37767607475172,66.12649233746382,81.30052507627772,47.099261727683306
1995-05-31,2005-06-02,33.06369934552356,0.0,26.929598830716106,1.5367584934211642,28.259803416361695,-278.3782924726741,40.84604813243908,34.84454952665583,40.84604813243908,23.388929203504993,23.388929203504993,64.22831885130931,80.96002145662862,45.22597478264112
1995-06-29,2005-07-01,29.722118637092176,0.0,26.54766636393191,0.9028470079197604,27.743818956103006,-278.20464001063306,40.67006273488882,33.86651617404812,40.67006273488882,23.196782582148856,23.196782582148856,63.33259897217225,80.06066229472309,44.60008958725892
1995-07-31,2005-08-02,33.790518876553044,0.0,26.521793944842553,0.7011474043716603,26.285942853065958,-277.89531723183546,42.36619502908434,30.382079477757618,42.36619502908434,23.6198136513055,23.6198136513055,60.40447760466083,81.65484473733775,42.9311100162022
1995-08-29,2005-08-31,31.142501181808946,0.0,25.9911314850525,0.28852326729555955,25.86641345773355,-276.0142119355957,40.941346667695555,30.057974815560495,40.941346667695555,22.78101217433326,22.78101217433326,59.89079919313633,79.32169778521514,41.95274628991497
1995-09-28,2005-09-30,21.528533992756227,0.0,25.84128129491159,0.04073581422625594,24.080361234348757,-276.514941951993,40.508853479388485,29.858312992727676,40.508853479388485,22.203999322591983,22.203999322591983,56.785482228263184,76.63945904621939,39.801300834811926
1995-10-27,2005-10-31,20.187684499959335,0.0,25.93137568956072,0.1342033115125929,24.436772036680043,-275.2047403176161,40.08437680870891,29.811250384019772,40.08437680870891,22.107220050664456,22.107220050664456,57.55703246316246,76.31338634558782,40.367060007970856
1995-11-28,2005-11-30,15.51276854996786,0.0,25.89489948093382,0.1297271843458958,23.327547266129844,-274.4996664640076,39.992451148072035,29.854329891252362,39.992451148072035,21.881950430222563,21.881950430222563,55.36247068413047,74.6646481784241,38.77227463167987
1995-12-28,2005-12-30,13.103127317759533,0.0,25.759490818815234,-0.11714053455458284,22.329239730733974,-273.97094358495576,39.54706423392462,29.64298726432446,39.54706423392462,21.370171150507655,21.370171150507655,53.799610711080526,73.3453623484026,37.39634076432408
1996-01-29,2006-02-01,11.365203869830864,0.0,26.07780573779417,0.6972567070651081,23.125762769309333,-272.5385398043678,43.414030360096056,31.88417744531602,43.414030360096056,24.918915202183367,24.918915202183367,56.174627154799154,78.39921459671606,42.76457532687017
1996-02-28,2006-03-03,7.2890535532343925,0.0,26.029740874704554,0.6106123793125917,23.073210681092693,-272.16938317706996,41.5827712135397,30.983512021098836,41.5827712135397,23.025215038379176,23.025215038379176,56.17188821074981,74.03352968291976,38.09399122737478
1996-03-28,2006-04-03,5.516395226667914,0.0,26.07153256051431,0.6659732552405373,23.178259720539884,-272.2423299102661,41.545032085734675,31.89787456883586,41.545032085734675,24.18286917752921,24.18286917752921,57.33462977174142,75.24053557424138,39.12155337184808
1996-04-29,2006-05-03,-6.40202228555431,0.0,26.62027336674644,2.800307682075953,25.257176046165064,-271.4867442828206,42.54742963404779,36.24577420284325,42.54742963404779,28.15499704400093,28.15499704400093,62.14914324165876,75.73439250564195,42.65814180032912
1996-05-29,2006-06-02,-5.203903889352546,0.0,25.551063580886435,0.6703871359570179,23.028770022823775,-268.62628797365227,40.840821465690794,36.258969291620424,40.840821465690794,24.498165210540268,24.498165210540268,58.21394146486636,71.22166214384329,37.82353736939248
1996-06-27,2006-07-03,-5.507208457102841,0.0,25.39776828814011,0.27913519396793873,22.793602394817203,-268.2858882154515,40.71577620523348,36.07585377790379,40.71577620523348,24.17212626360188,24.17212626360188,57.91356933001035,70.06770887705072,36.167717785282605
1996-07-29,2006-08-02,-6.067306257311333,0.0,25.582061049080895,0.3727902045636,25.108248676148914,-267.3826673869728,42.20798286553418,38.023604639567665,42.20798286553418,25.75034171763857,25.75034171763857,61.02842577157208,75.22040100123695,43.62457757413951
1996-08-27,2006-08-31,-2.6959505625367974,0.0,25.254843596902443,0.14716919055191013,22.46493035787278,-265.8217071665847,40.22238631213426,36.93133309765617,40.22238631213426,22.753991022534947,22.753991022534947,56.93371063689501,70.6324573892636,36.53468756055878
1996-09-26,2006-10-02,-0.8753213204903965,0.0,25.61959524611579,0.5665111258723599,21.273726524508874,-265.0407482110029,39.47136532333584,36.73181568031314,39.47136532333584,21.08855435086765,21.08855435086765,54.810303193060236,67.3490051590897,31.591257177190357
1996-10-25,2006-10-31,4.4544830080339715,0.0,25.74919723071334,0.7113592211549502,21.485940996195385,-264.9640475882453,39.4145256784828,37.143615257837496,39.4145256784828,21.768854004831084,21.768854004831084,55.18999343283593,70.5412261755467,32.78902693357067
1996-11-25,2006-11-30,-6.094754401173574,0.0,25.827603730561588,0.00866900822904526,20.69836739916786,-263.9551912049298,39.0895368688593,33.61979096772494,39.0895368688593,22.841679823526473,22.841679823526473,55.495624510326635,64.65406847905308,27.94870246621395
1996-12-26,2007-01-03,-0.8851393138864516,0.0,26.00310571197806,0.2663572256755842,20.916584952912487,-264.17862194405785,39.149242050970926,34.128350837776544,39.149242050970926,23.447613948774926,23.447613948774926,55.90562519679043,67.52529628693216,28.80125727328764
1997-01-27,2007-02-02,-1.5536097665180826,0.0,25.981847552818405,0.27917410574174184,20.96537055139347,-262.8268106226983,38.41484843920551,32.54125010001552,38.41484843920551,22.478452647904934,22.478452647904934,55.227621882460994,65.70994013952891,25.858240346841033
