combo,n,geo,arith,vol,months,median_multiple,p5_multiple,prob_beat_benchmark,w_AVWC,w_AVSG,w_EMIM,w_XDEW,w_IWQU,w_JMFP,w_SGLN,w_GLIN
AVWC+AVSG+EMIM+IWQU,4,0.0819,0.0893,0.1218,157,7.7668,2.8198,0.9974,0.3693,0.2895,0.2313,0.0,0.1099,0.0,0.0,0.0
AVWC+AVSG+EMIM+JMFP,4,0.0798,0.087,0.1205,119,7.2462,2.6119,0.984,0.3529,0.3096,0.257,0.0,0.0,0.0805,0.0,0.0
AVWC+AVSG+XDEW+IWQU,4,0.0797,0.0874,0.1243,157,7.367,2.6054,0.9754,0.375,0.3027,0.0,0.1567,0.1656,0.0,0.0,0.0
AVWC+AVSG+IWQU+GLIN,4,0.0795,0.0868,0.1209,157,7.2068,2.6003,0.9626,0.3934,0.3323,0.0,0.0,0.1654,0.0,0.0,0.109
AVWC+AVSG+EMIM+XDEW,4,0.0791,0.0886,0.138,211,7.2693,2.2975,0.9844,0.3418,0.2829,0.2184,0.1568,0.0,0.0,0.0,0.0
AVWC+AVSG+EMIM+XDEW+IWQU+JMFP+SGLN+GLIN,8,0.0741,0.0802,0.1105,89,6.3042,2.4439,0.9398,0.2528,0.2121,0.1662,0.1209,0.0788,0.0613,0.0413,0.0666
