block,shift,max_weight_move,most_sensitive_holding,geo_up,geo_down,geo_spread
em_premium,0.01,0.1928672930070911,EMIM,0.08121470186445616,0.07614874486451774,0.00506595699993842
profitability_q,0.01,0.19286648635245163,EMIM,0.08184874533046288,0.07550321376357774,0.0063455315668851375
equalweight_tilt,0.01,0.07627519791034512,EMIM,0.07858425762375137,0.0785032137783313,8.104384542007015e-05
size_value_premium,0.01,0.02995525864521048,AVSG,0.08150321396388704,0.07551470218898389,0.0059885117749031574
gold_real,0.01,1.632938810752771e-06,GLIN,0.0785032418361501,0.0785032136588933,2.817725679171712e-08
cash,0.01,1.2647583878949709e-06,GLIN,0.0790032375498478,0.07800321365061907,0.001000023899228722
infra_premium,0.01,8.762519693034099e-07,GLIN,0.07930321377076055,0.07770323782203353,0.001599975948727017
equity_dev,0.01,7.387913156103876e-07,GLIN,0.0880032135811419,0.06900322772308126,0.018999985858060633
value_premium,0.01,2.394244363879139e-08,EMIM,0.08150321420478317,0.07550321376991181,0.006000000434871353
mf_premium,0.01,1.0292549701418352e-08,EMIM,0.0790032139001112,0.07800321397819038,0.0009999999219208189
gilt_short_premium,0.01,0.0,AVWC,0.07850321386311289,0.07850321386311289,0.0
minvol_drag,0.01,0.0,AVWC,0.07850321386311289,0.07850321386311289,0.0
defence_theme,0.01,0.0,AVWC,0.07850321386311289,0.07850321386311289,0.0
uranium_theme,0.01,0.0,AVWC,0.07850321386311289,0.07850321386311289,0.0
