,recommended,convex,resampled_raw,black_litterman,hrp
AVSG,13.0,30.0,12.6,28.7,0.0
XDEW,3.7,0.0,3.6,0.0,0.0
EMIM,6.7,0.0,6.5,0.0,0.0
MVOL,0.0,0.0,1.1,0.0,0.1
JMFP,8.7,8.4,8.5,8.0,0.1
SGLN,4.3,0.0,4.2,0.0,0.0
IGLS,30.0,30.0,29.4,30.0,4.9
ERNS,21.9,21.1,21.2,20.0,94.8
DFND_EU,0.0,0.0,1.6,3.3,0.0
URNM,4.2,0.0,4.1,0.0,0.0
GLIN,7.4,10.5,7.2,10.0,0.0
