Date,1x  CSPX,2x  (e.g. 2USL),3x  (e.g. 3USL)
1988-01-05,1.0,1.0,1.0
1988-01-06,1.0117513444651571,1.0229706720144738,1.0342246524610017
1988-01-07,1.0202634185409147,1.0399079674561276,1.059780610071052
1988-01-08,0.9512822117903639,0.8990052605779487,0.8442529980721947
1988-01-11,0.9673718625794958,0.9291771531973335,0.8866502999896919
1988-01-12,0.9592840133461051,0.9133886514837971,0.8639399316266385
1988-01-13,0.9609218108795741,0.9162610611536691,0.8679069525209866
1988-01-14,0.9611925214632797,0.9165268012836225,0.868174144133
1988-01-15,0.9854061576664594,0.9624531134286496,0.933318835218679
1988-01-18,0.9847394335591289,0.960887578287095,0.930922915774281
1988-01-19,0.9747768632381995,0.941179284914519,0.902162486641185
1988-01-20,0.9486050779466181,0.8903851212022014,0.8290162799284367
1988-01-21,0.9505944463219838,0.8938783431965186,0.8337905135658974
1988-01-22,0.9637543441098213,0.9183858843350965,0.8679757897588066
1988-01-25,0.9862490114035268,0.9610080827138253,0.9282902657684475
1988-01-26,0.9762474792353846,0.9412564902126498,0.8995545934067213
1988-01-27,0.9755026613886769,0.9395681242749099,0.8970223389385447
1988-01-28,0.9907714885837746,0.9687314318341204,0.9386759027977056
1988-01-29,1.0056105967608093,0.9974938084754083,0.9803659970179851
1988-02-01,0.9979525289511443,0.9820372778920723,0.9574588976176356
1988-02-02,1.0004494203696817,0.9866895437512863,0.9641440988568465
1988-02-03,0.9873234293850298,0.9605355063331963,0.9256900857910793
1988-02-04,0.9880237449155878,0.9616442798496027,0.9271794042338514
1988-02-05,0.9839200084205054,0.9534021727654403,0.915145827541144
1988-02-08,0.9768089606802881,0.9393696058411715,0.894829553456658
1988-02-09,0.9872343883567598,0.9591748867577105,0.9230200433015311
1988-02-10,1.006720924583436,0.9967882799583273,0.9772010042881794
1988-02-11,1.003984123986893,0.9911060373360949,0.968725692075954
1988-02-12,1.0110505362256719,1.0047917121958683,0.9886699400082568
1988-02-16,1.0199135851614838,1.0221385387727877,1.0141494965820252
1988-02-17,1.0175673564113474,1.0171620575213756,1.006616954002882
1988-02-18,1.0124481918109278,1.0066573703191135,0.9908990498797512
1988-02-19,1.0270131834166853,1.0353534974653238,1.0331473293912887
1988-02-22,1.0431013309006605,1.067517054257566,1.0811629731746868
1988-02-23,1.0407551828216157,1.062433643919509,1.07330824475522
1988-02-24,1.0387213214056812,1.0580016710278333,1.0664612706881207
1988-02-25,1.0275486065491208,1.0349626989092506,1.0314961437448884
1988-02-26,1.031021624282025,1.0416877905805257,1.0414247401143726
1988-02-29,1.0524602176701268,1.0847344890581438,1.1058514037757954
1988-03-01,1.0523010399013741,1.084120982499255,1.10477828871112
1988-03-02,1.0535088158865733,1.0863247801276585,1.1080123832553
1988-03-03,1.053115315565147,1.0852283203287874,1.1062000944435644
1988-03-04,1.0509644184990092,1.0805059558993642,1.0988427018705738
1988-03-07,1.0514301375617907,1.0811750121154158,1.0997270523292393
1988-03-08,1.0597067903107815,1.09790700886302,1.1251188963437764
1988-03-09,1.0584931644288176,1.095098613179867,1.1206621457712758
1988-03-10,1.0379866299617106,1.0523734410214127,1.0549387111462516
1988-03-11,1.0423578153034967,1.0609555154918315,1.0677121723192016
1988-03-14,1.0480568064828748,1.0722743596788094,1.0846665829904727
1988-03-15,1.0471557263035924,1.0701488718430854,1.0813093650557581
1988-03-16,1.0578535836276122,1.091733261050117,1.1138918706096335
1988-03-17,1.0672235627437172,1.1107870370308577,1.1429171491453394
1988-03-18,1.0668691281997194,1.1097552263723223,1.1411842944625123
1988-03-21,1.057532390772673,1.0900338576948816,1.1106224876224584
1988-03-22,1.0579589855440026,1.0906195649968276,1.111378594714236
1988-03-23,1.0582685414205917,1.0909617642334566,1.111761418390438
1988-03-24,1.036395684999114,1.045570223089464,1.042236581509308
1988-03-25,1.0181939682345456,1.0085661297898185,0.9867785824242625
1988-03-28,1.0164727913840965,1.0048861746640272,0.9812551341179383
1988-03-29,1.024475795511063,1.0204405669657342,1.0039159809425924
1988-03-30,1.0166233892886485,1.0045238757616102,0.9803024753382316
1988-03-31,1.0198618980730365,1.0106559329859932,0.9891574032088862
1988-04-04,1.0091586565212083,0.9891675563149718,0.9574852699925535
1988-04-05,1.018840944899997,1.0078733659001797,0.9845212299025182
1988-04-06,1.0463700854299094,1.062056593207884,1.0637844214558734
1988-04-07,1.0489836230821712,1.0670644850311801,1.071169597005798
1988-04-08,1.0619071283341102,1.093059331789339,1.1101726650644372
1988-04-11,1.064872063782713,1.098857365555897,1.1188611609572081
1988-04-12,1.06963346421976,1.1083814639912208,1.1332639666076887
1988-04-13,1.0704505510389017,1.1097726704705213,1.1352539422753758
1988-04-14,1.0239758847973222,1.0131116602796022,0.9867920743598658
1988-04-15,1.0240512201913947,1.0129837348767408,0.9864796685843024
1988-04-18,1.0219004638537454,1.008452954337516,0.9797364394053346
1988-04-19,1.0168600634047518,0.998231887285243,0.9647181739527765
1988-04-20,1.0097888215702253,0.9840771393931155,0.9440769500578432
1988-04-21,1.0109576275224177,0.9860881233573173,0.9468516805438507
1988-04-22,1.0256381107175614,1.014459159039735,0.9875954252957646
1988-04-25,1.0350075015508449,1.03271753886666,1.014132732062991
1988-04-26,1.041135541560741,1.0446633244977233,1.0315995631790043
1988-04-27,1.0407812058690336,1.0436670421878895,1.0299928310646438
1988-04-28,1.036092293343627,1.033974549627954,1.0155119479584367
1988-04-29,1.031090934855277,1.023705473079342,1.0002522090747146
1988-05-02,1.0322204510562594,1.0256603058444194,1.0029860960332326
1988-05-03,1.0383095633718569,1.037470529566743,1.0201772623230112
1988-05-04,1.0279192742788055,1.0164123820099418,0.9889815468113159
1988-05-05,1.022488379631967,1.0053821832384535,0.972751103521286
1988-05-06,1.0176042741389288,0.9954861524328004,0.9582572113089783
1988-05-09,1.014828929906213,0.9897669458462947,0.9498691804147585
1988-05-10,1.0192387691810267,0.9980801335918488,0.9617068256438117
1988-05-11,1.0022101648431654,0.9644419889249176,0.9129588715511648
1988-05-12,1.0043941538029433,0.9683690398084648,0.9184129114229738
1988-05-13,1.0160672685770882,0.9906016057246004,0.9499190902793051
1988-05-16,1.0242257711901115,1.006226236229514,0.9722666716348574
1988-05-17,1.0115708515246395,0.9810693013813537,0.9356730602097979
1988-05-18,0.9958312569942592,0.9502582094065394,0.8914698403492758
1988-05-19,1.000826716726856,0.9595219121768241,0.9043875814847602
1988-05-20,1.0026202780589784,0.9626849389077907,0.9087380170936674
1988-05-23,0.9941047960155891,0.9460549897098111,0.8850687096013926
1988-05-24,1.0048403997659625,0.9662135853270089,0.9132372376706915
1988-05-25,1.006048228183772,0.9682549536374149,0.9160070996888969
1988-05-26,1.009520697178779,0.9746535161027269,0.9249607211733885
1988-05-27,1.0051053941247023,0.9658397629586171,0.9122862302258308
1988-05-31,1.0399338136045648,1.0324902224215875,1.0065925212997833
1988-06-01,1.058010297467767,1.0680779467605128,1.0584953459448485
1988-06-02,1.0526576587382315,1.0569550405512411,1.0418142924771419
1988-06-03,1.0571843244210064,1.0657320196672366,1.0546466777464463
1988-06-06,1.0597976532869198,1.0706850232848326,1.0618526348129167
1988-06-07,1.0525708337160424,1.0557667939715776,1.0395132511958798
1988-06-08,1.0777927157148712,1.1060536955083013,1.1136396254830236
1988-06-09,1.0729478535201484,1.0957829071653966,1.097973769529606
1988-06-10,1.077201038901278,1.1041459285690922,1.1103913219974102
1988-06-13,1.0779790426562346,1.1054144336407625,1.1121512821238613
1988-06-14,1.0894559661644254,1.1286296224214256,1.1470344721290318
1988-06-15,1.0900777093978418,1.1295886373849744,1.1483401011988172
1988-06-16,1.071527312881116,1.0908158678793736,1.0890600994580035
1988-06-17,1.0751946430282642,1.0979631061242692,1.0996146031086698
1988-06-20,1.0683975385727131,1.0837594781250592,1.0781265721382634
1988-06-21,1.0792495664381985,1.105450047423428,1.110341653974056
1988-06-22,1.0950995015965823,1.1375891629575503,1.1586083345748504
1988-06-23,1.0917774790906098,1.1303474077331015,1.1473829262393014
1988-06-24,1.0883774250756326,1.1229697578613689,1.1359893987073533
1988-06-27,1.0697493442523613,1.0841921322566026,1.076988777409795
1988-06-28,1.0828268808714934,1.1103729188247167,1.1158466804635772
1988-06-29,1.0775526237055477,1.0992216270438946,1.098879870583012
1988-06-30,1.0875844825634766,1.1193586126403192,1.1289213733735421
1988-07-01,1.0810216600328737,1.1055136900493836,1.1078179856622554
1988-07-05,1.0973788523636139,1.1386371712137957,1.1574509277624092
1988-07-06,1.0823042279309838,1.1070137089939478,1.1090698254640505
1988-07-07,1.081364165925753,1.1047585568051674,1.1055250163483255
1988-07-08,1.0743719907630058,1.0901354170756776,1.0834173760966141
1988-07-11,1.076594620204767,1.0943162616010542,1.0894965116032638
1988-07-12,1.0658541869208988,1.072145690708994,1.0562301862615842
1988-07-13,1.0717079967329461,1.083593541420002,1.0729951174241772
1988-07-14,1.0755704394996042,1.0910712801008207,1.0839474555261754
1988-07-15,1.082673655996511,1.1051477707246182,1.1047684041131367
