Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-06-30 00:00:00-04:00,11.762371991287198,12.564276276973256,10.80740713654903,12.138368606567383,3518000,0.0,0.0
2000-07-03 00:00:00-04:00,12.231536468592557,12.231536468592557,11.419649934768678,11.712461471557617,778800,0.0,0.0
2000-07-05 00:00:00-04:00,11.552742952289003,11.71245829264323,10.64768935694839,10.980429649353027,2986000,0.0,0.0
2000-07-06 00:00:00-04:00,10.993739825028639,11.073597499302455,8.997297968183245,9.689397811889648,3596000,0.0,0.0
2000-07-07 00:00:00-04:00,9.716018559727283,10.301641596203996,9.157014752181329,10.195164680480957,1938800,0.0,0.0
2000-07-10 00:00:00-04:00,10.115306490943546,11.619292850781203,9.689398849219607,10.621071815490723,2824400,0.0,0.0
2000-07-11 00:00:00-04:00,10.43473857317784,11.499507815338845,9.875734721043314,10.301642417907715,2786800,0.0,0.0
2000-07-12 00:00:00-04:00,10.660999267332016,12.444487284588558,10.32825896560505,12.377939224243164,4570400,0.0,0.0
2000-07-13 00:00:00-04:00,12.723988163792075,13.575803270991546,11.51281355824283,12.857084274291992,5894400,0.0,0.0
2000-07-14 00:00:00-04:00,12.88370702061718,12.88370702061718,11.605984010308038,11.76569938659668,1805200,0.0,0.0
2000-07-17 00:00:00-04:00,11.872177220700031,12.910327246725371,11.073600277603617,12.604206085205078,1578000,0.0,0.0
2000-07-18 00:00:00-04:00,12.351321459766403,13.775450119459297,11.978652277790694,13.362852096557617,2166000,0.0,0.0
2000-07-19 00:00:00-04:00,13.469330248625381,14.480860978759303,12.936945653818054,14.081572532653809,3068800,0.0,0.0
2000-07-20 00:00:00-04:00,14.38769260228661,15.01324445455994,14.001713799820086,14.560717582702637,1586400,0.0,0.0
2000-07-21 00:00:00-04:00,14.480863526629916,14.786984722505364,13.09666333658441,13.109972953796387,1402000,0.0,0.0
2000-07-24 00:00:00-04:00,14.06826338117773,14.06826338117773,11.712461471557617,11.712461471557617,3320800,0.0,0.0
2000-07-25 00:00:00-04:00,12.031891551238811,12.377941529482406,11.233314678368979,12.058510780334473,1588400,0.0,0.0
2000-07-26 00:00:00-04:00,12.085127924402132,12.085127924402132,10.807405148253888,11.220003128051758,1924400,0.0,0.0
2000-07-27 00:00:00-04:00,11.126835634298189,11.126835634298189,9.90235133004528,10.288330078125,2432000,0.0,0.0
2000-07-28 00:00:00-04:00,10.514594762012212,10.541213989257812,9.582921808416193,10.541213989257812,1814000,0.0,0.0
2000-07-31 00:00:00-04:00,10.607759589209602,10.674307641839524,9.689396462916676,9.729325294494629,1662000,0.0,0.0
2000-08-01 00:00:00-04:00,9.902356933063778,10.00883388933328,9.157018239177257,9.19694709777832,894400,0.0,0.0
2000-08-02 00:00:00-04:00,9.183635115623474,9.902354385541832,8.864204328993091,9.795877456665039,1896800,0.0,0.0
2000-08-03 00:00:00-04:00,9.582925543084844,11.419652938842773,9.436519736176605,11.419652938842773,1499200,0.0,0.0
2000-08-04 00:00:00-04:00,11.166765252233068,12.29808235168457,11.166765252233068,12.29808235168457,1474800,0.0,0.0
2000-08-07 00:00:00-04:00,12.524348005381498,12.564276851307262,11.353101858225736,11.712461471557617,492400,0.0,0.0
2000-08-08 00:00:00-04:00,11.765700216646547,12.111750223018504,11.499507904052734,11.499507904052734,323600,0.0,0.0
2000-08-09 00:00:00-04:00,11.725770528979087,11.925414749109263,11.073599409887175,11.206695556640625,369200,0.0,0.0
2000-08-10 00:00:00-04:00,11.353099778294563,11.353099778294563,10.647690296173096,11.07359790802002,300400,0.0,0.0
2000-08-11 00:00:00-04:00,11.073598176887236,11.233313535207726,10.554523262345647,11.046978950500488,134000,0.0,0.0
2000-08-14 00:00:00-04:00,10.91388331917593,11.073598684822407,10.541214132667484,10.621071815490723,593200,0.0,0.0
2000-08-15 00:00:00-04:00,10.594453007567163,10.94050298017614,10.434737635593788,10.860645294189453,204000,0.0,0.0
2000-08-16 00:00:00-04:00,10.900574302890577,11.739080018497544,10.860645459290247,11.68584156036377,740800,0.0,0.0
2000-08-17 00:00:00-04:00,11.71246034879211,11.765698804922982,10.913883506829011,11.259933471679688,575200,0.0,0.0
2000-08-18 00:00:00-04:00,11.25993101375031,11.49950401404287,10.860642679929377,11.123507499694824,198800,0.0,0.0
2000-08-21 00:00:00-04:00,11.126838397979737,11.818938394026324,10.913884553042326,11.712461471557617,263200,0.0,0.0
2000-08-22 00:00:00-04:00,11.499508544102612,12.324704759072938,11.499508544102612,11.898797035217285,379600,0.0,0.0
2000-08-23 00:00:00-04:00,11.89879652050054,11.93872536788477,11.233315730763373,11.393031120300293,454400,0.0,0.0
2000-08-24 00:00:00-04:00,11.34645312962512,11.925420851934524,11.286559020580889,11.739086151123047,1924000,0.0,0.0
2000-08-25 00:00:00-04:00,11.872173150021657,12.178294206580512,11.31316948152288,11.792315483093262,1748000,0.0,0.0
2000-08-28 00:00:00-04:00,12.058510529689299,12.457798957824707,11.818937472808056,12.457798957824707,1642800,0.0,0.0
2000-08-29 00:00:00-04:00,12.351321787684881,14.786981148833949,12.324702559694181,14.454240798950195,3262000,0.0,0.0
2000-08-30 00:00:00-04:00,14.068258057285458,15.904984274792927,14.054948447013665,14.960001945495605,1767200,0.0,0.0
2000-08-31 00:00:00-04:00,14.93339070589029,15.745277366370955,14.853533001580715,15.199583053588867,850800,0.0,0.0
2000-09-01 00:00:00-04:00,15.465765871652742,15.612171572675273,14.933381504298087,15.279431343078613,467600,0.0,0.0
2000-09-05 00:00:00-04:00,15.039861222141374,16.55715695605652,14.960003551935314,15.944914817810059,1028000,0.0,0.0
2000-09-06 00:00:00-04:00,15.86505447525576,18.154307302222197,15.86505447525576,17.675161361694336,2685600,0.0,0.0
2000-09-07 00:00:00-04:00,17.71509566481825,20.709758718600447,17.355736098364385,20.33708953857422,2757200,0.0,0.0
2000-09-08 00:00:00-04:00,20.89608681217641,21.548257674467266,19.804698838546813,20.20398712158203,3938400,0.0,0.0
2000-09-11 00:00:00-04:00,19.804704688995404,20.217302703349475,18.393885672171805,19.991039276123047,3260400,0.0,0.0
2000-09-12 00:00:00-04:00,19.991040045818448,22.000791741503257,19.48527471842757,21.042499542236328,2206000,0.0,0.0
2000-09-13 00:00:00-04:00,20.869472635203394,22.360149252003637,20.64320922015336,21.614810943603516,1278400,0.0,0.0
2000-09-14 00:00:00-04:00,22.014108560085297,23.371689620018007,20.975958337783812,21.29538917541504,2366000,0.0,0.0
2000-09-15 00:00:00-04:00,21.614820884414744,21.721297834584274,20.57667062026182,20.669837951660156,563200,0.0,0.0
2000-09-18 00:00:00-04:00,19.991040305401587,21.588193991585467,19.072676935845852,19.139225006103516,1785200,0.0,0.0
2000-09-19 00:00:00-04:00,19.072681808735855,19.4985895672003,17.78164891589051,19.219087600708008,1632800,0.0,0.0
2000-09-20 00:00:00-04:00,19.1924706066356,20.65652869729435,19.059374416575714,19.911190032958984,1920800,0.0,0.0
2000-09-21 00:00:00-04:00,19.804708771083664,19.991043396618053,18.46043754401414,19.591754913330078,601200,0.0,0.0
2000-09-22 00:00:00-04:00,18.540293428114246,19.378799161044036,17.914741532119006,19.03274917602539,883200,0.0,0.0
2000-09-25 00:00:00-04:00,19.511897751570608,20.12414010939615,17.675170678093977,18.433818817138672,1111600,0.0,0.0
2000-09-26 00:00:00-04:00,17.994598059514637,18.31402879429892,16.184490562403695,17.27587890625,1539600,0.0,0.0
