Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-06-24 00:00:00-04:00,12.785294135944955,12.917271869188532,12.155102914041116,12.290379524230957,1675400,0.0,0.0
2011-06-27 00:00:00-04:00,12.105608455380235,12.521337348404641,12.0726146581833,12.422354698181152,895200,0.0,0.0
2011-06-28 00:00:00-04:00,12.6500124914824,13.194418851165848,12.438849209234803,12.768792152404785,4151800,0.0,0.0
2011-06-29 00:00:00-04:00,12.867777684163627,13.517765831485134,12.768795030627375,13.220816612243652,3695200,0.0,0.0
2011-06-30 00:00:00-04:00,13.418784568930086,13.857609473053957,13.25711316324559,13.65964412689209,3025600,0.0,0.0
2011-07-01 00:00:00-04:00,13.593652414799966,15.649197238908394,13.527663560340057,13.923595428466797,8334200,0.0,0.0
2011-07-05 00:00:00-04:00,13.926896095275879,14.187551411654917,13.74212878939332,13.926896095275879,11823000,0.0,0.0
2011-07-06 00:00:00-04:00,13.72563007357243,13.940093554791584,13.53096362802411,13.821313858032227,10983000,0.0,0.0
2011-07-07 00:00:00-04:00,13.920300323408497,14.273339374907286,13.76192777065856,13.78502368927002,16707600,0.0,0.0
2011-07-08 00:00:00-04:00,13.461679285513098,14.055576660429399,13.369295613020137,13.662944793701172,16417000,0.0,0.0
2011-07-11 00:00:00-04:00,13.45838017106706,13.45838017106706,13.036052121464895,13.230718612670898,9495200,0.0,0.0
2011-07-12 00:00:00-04:00,13.1515300241062,13.524366018763214,13.012953290200556,13.356094360351562,8011200,0.0,0.0
2011-07-13 00:00:00-04:00,13.369290203973911,13.606849561280168,12.946963576436238,13.184521675109863,11642800,0.0,0.0
2011-07-14 00:00:00-04:00,13.187820522161244,13.204317418444997,12.60712020736602,12.748995780944824,11528400,0.0,0.0
2011-07-15 00:00:00-04:00,12.867776684153293,13.022850293109377,12.570827487989012,12.920567512512207,9938400,0.0,0.0
2011-07-18 00:00:00-04:00,12.778696767796298,13.062448049740356,12.455352664237495,12.907374382019043,8311600,0.0,0.0
2011-07-19 00:00:00-04:00,12.953561865022916,13.177923209850018,12.91067018044765,13.11193561553955,6423000,0.0,0.0
2011-07-20 00:00:00-04:00,13.128436132840257,13.17792684221473,12.999758526380383,13.04265022277832,5449000,0.0,0.0
2011-07-21 00:00:00-04:00,13.042651134902925,13.276911706737117,12.904075628603627,13.230718612670898,7249200,0.0,0.0
2011-07-22 00:00:00-04:00,13.290105134688579,13.468274676835515,13.168026563350626,13.385788917541504,6645600,0.0,0.0
2011-07-25 00:00:00-04:00,13.610155022680253,13.897205212559474,13.412189634894563,13.649747848510742,8898600,0.0,0.0
2011-07-26 00:00:00-04:00,13.656345490700053,14.425113561926565,13.616752668846976,14.20405101776123,11324200,0.0,0.0
2011-07-27 00:00:00-04:00,14.194143365160372,14.286526972159905,13.847703580279877,13.877398490905762,6998400,0.0,0.0
